                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                      COLUMBIA R AT MCNARY DAM NR UMATILLA, OR                       
                Requested Period of Record:  10/1/1950 to  9/30/1981                 
 
Watershed ID #: 14019200                                  Basin: OUT OF STATE-PART 14
Latitude: 45° 56' 3.477" *                       Longitude: -119° 17' 53.057" *
Hydrologic Unit: 17070101                                      Public Land Survey: --
 
Time: 2:29 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1950                 99400                            
                     10/2/1950                 97700                            
                     10/3/1950                 92800                            
                     10/4/1950                 94400                            
                     10/5/1950                101000                            
                     10/6/1950                 97700                            
                     10/7/1950                 94400                            
                     10/8/1950                 94400                            
                     10/9/1950                 97700                            
                    10/10/1950                 96000                            
                    10/11/1950                 94400                            
                    10/12/1950                 99400                            
                    10/13/1950                 96000                            
                    10/14/1950                 99400                            
                    10/15/1950                 96000                            
                    10/16/1950                 96000                            
                    10/17/1950                 92800                            
                    10/18/1950                 97700                            
                    10/19/1950                104000                            
                    10/20/1950                111000                            
                    10/21/1950                113000                            
                    10/22/1950                108000                            
                    10/23/1950                113000                            
                    10/24/1950                108000                            
                    10/25/1950                110000                            
                    10/26/1950                108000                            
                    10/27/1950                111000                            
                    10/28/1950                115000                            
                    10/29/1950                118000                            
                    10/30/1950                120000                            
                    10/31/1950                135000                            
                     11/1/1950                139000                            
                     11/2/1950                145000                            
                     11/3/1950                150000                            
                     11/4/1950                153000                            
                     11/5/1950                149000                            
                     11/6/1950                149000                            
                     11/7/1950                147000                            
                     11/8/1950                141000                            
                     11/9/1950                135000                            
                    11/10/1950                133000                            
                    11/11/1950                129000                            
                    11/12/1950                122000                            
                    11/13/1950                120000                            
                    11/14/1950                117000                            
                    11/15/1950                113000                            
                    11/16/1950                111000                            
                    11/17/1950                111000                            
                    11/18/1950                115000                            
                    11/19/1950                120000                            
                    11/20/1950                118000                            
                    11/21/1950                108000                            
                    11/22/1950                110000                            
                    11/23/1950                110000                            
                    11/24/1950                108000                            
                    11/25/1950                111000                            
                    11/26/1950                106000                            
                    11/27/1950                120000                            
                    11/28/1950                122000                            
                    11/29/1950                137000                            
                    11/30/1950                126000                            
                     12/1/1950                126000                            
                     12/2/1950                122000                            
                     12/3/1950                129000                            
                     12/4/1950                120000                            
                     12/5/1950                122000                            
                     12/6/1950                117000                            
                     12/7/1950                117000                            
                     12/8/1950                122000                            
                     12/9/1950                126000                            
                    12/10/1950                124000                            
                    12/11/1950                120000                            
                    12/12/1950                115000                            
                    12/13/1950                111000                            
                    12/14/1950                117000                            
                    12/15/1950                122000                            
                    12/16/1950                122000                            
                    12/17/1950                122000                            
                    12/18/1950                117000                            
                    12/19/1950                115000                            
                    12/20/1950                117000                            
                    12/21/1950                118000                            
                    12/22/1950                122000                            
                    12/23/1950                124000                            
                    12/24/1950                128000                            
                    12/25/1950                145000                            
                    12/26/1950                157000                            
                    12/27/1950                169000                            
                    12/28/1950                176000                            
                    12/29/1950                182000                            
                    12/30/1950                182000                            
                    12/31/1950                182000                            
                      1/1/1951                178000                            
                      1/2/1951                180000                            
                      1/3/1951                182000                            
                      1/4/1951                178000                            
                      1/5/1951                178000                            
                      1/6/1951                172000                            
                      1/7/1951                153000                            
                      1/8/1951                135000                            
                      1/9/1951                139000                            
                     1/10/1951                135000                            
                     1/11/1951                122000                            
                     1/12/1951                118000                            
                     1/13/1951                118000                            
                     1/14/1951                126000                            
                     1/15/1951                129000                            
                     1/16/1951                133000                            
                     1/17/1951                141000                            
                     1/18/1951                141000                            
                     1/19/1951                143000                            
                     1/20/1951                141000                            
                     1/21/1951                135000                            
                     1/22/1951                139000                            
                     1/23/1951                137000                            
                     1/24/1951                139000                            
