                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                            N FK UMATILLA R NR GIBBON, OR                            
                Requested Period of Record:   6/1/1912 to  9/30/1943                 
 
Watershed ID #: 14019500                                              Basin: UMATILLA
Latitude: 45° 43' 58.998" *                        Longitude: -118° 11' 4.014" *
Hydrologic Unit: 17070103                      Public Land Survey: 3.00N-37.00E-22-NW
 
Time: 2:30 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                      6/1/1912                   130                            
                      6/2/1912                   130                            
                      6/3/1912                   130                            
                      6/4/1912                   130                            
                      6/5/1912                   130                            
                      6/6/1912                   130                            
                      6/7/1912                   130                            
                      6/8/1912                   130                            
                      6/9/1912                   130                            
                     6/10/1912                   130                            
                     6/11/1912                   130                            
                     6/12/1912                   130                            
                     6/13/1912                   130                            
                     6/14/1912                   130                            
                     6/15/1912                   130                            
                     6/16/1912                   115                            
                     6/17/1912                   115                            
                     6/18/1912                   105                            
                     6/19/1912                   105                            
                     6/20/1912                    92.0                          
                     6/21/1912                    92.0                          
                     6/22/1912                    92.0                          
                     6/23/1912                    92.0                          
                     6/24/1912                    92.0                          
                     6/25/1912                    70.0                          
                     6/26/1912                    70.0                          
                     6/27/1912                    70.0                          
                     6/28/1912                    70.0                          
                     6/29/1912                    70.0                          
                     6/30/1912                    70.0                          
                      7/1/1912                    51.0                          
                      7/2/1912                    51.0                          
                      7/3/1912                    51.0                          
                      7/4/1912                    51.0                          
                      7/5/1912                    51.0                          
                      7/6/1912                    51.0                          
                      7/7/1912                    51.0                          
                      7/8/1912                    51.0                          
                      7/9/1912                    51.0                          
                     7/10/1912                    46.0                          
                     7/11/1912                    46.0                          
                     7/12/1912                    46.0                          
                     7/13/1912                    46.0                          
                     7/14/1912                    46.0                          
                     7/15/1912                    46.0                          
                     7/16/1912                    46.0                          
                     7/17/1912                    46.0                          
                     7/18/1912                    46.0                          
                     7/19/1912                    46.0                          
                     7/20/1912                    46.0                          
                     7/21/1912                    46.0                          
                     7/22/1912                    46.0                          
                     7/23/1912                    46.0                          
                     7/24/1912                    46.0                          
                     7/25/1912                    36.0                          
                     7/26/1912                    36.0                          
                     7/27/1912                    36.0                          
                     7/28/1912                    36.0                          
                     7/29/1912                    36.0                          
                     7/30/1912                    36.0                          
                     7/31/1912                    36.0                          
                      8/1/1912                    36.0                          
                      8/2/1912                    36.0                          
                      8/3/1912                    40.0                          
                      8/4/1912                    34.0                          
                      8/5/1912                    34.0                          
                      8/6/1912                    34.0                          
                      8/7/1912                    34.0                          
                      8/8/1912                    34.0                          
                      8/9/1912                    34.0                          
                     8/10/1912                    34.0                          
                     8/11/1912                    34.0                          
                     8/12/1912                    34.0                          
                     8/13/1912                    34.0                          
                     8/14/1912                    34.0                          
                     8/15/1912                    36.0                          
                     8/16/1912                    36.0                          
                     8/17/1912                    36.0                          
                     8/18/1912                    36.0                          
                     8/19/1912                    34.0                          
                     8/20/1912                    34.0                          
                     8/21/1912                    34.0                          
                     8/22/1912                    34.0                          
                     8/23/1912                    34.0                          
                     8/24/1912                    34.0                          
                     8/25/1912                    34.0                          
                     8/26/1912                    34.0                          
                     8/27/1912                    34.0                          
                     8/28/1912                    34.0                          
                     8/29/1912                    34.0                          
                     8/30/1912                    34.0                          
                     8/31/1912                    36.0                          
                      9/1/1912                    34.0                          
                      9/2/1912                    34.0                          
                      9/3/1912                    34.0                          
                      9/4/1912                    34.0                          
                      9/5/1912                    34.0                          
                      9/6/1912                    34.0                          
                      9/7/1912                    34.0                          
                      9/8/1912                    34.0                          
                      9/9/1912                    34.0                          
                     9/10/1912                    34.0                          
                     9/11/1912                    34.0                          
                     9/12/1912                    34.0                          
                     9/13/1912                    34.0                          
                     9/14/1912                    34.0                          
                     9/15/1912                    34.0                          
                     9/16/1912                    34.0                          
                     9/17/1912                    34.0                          
                     9/18/1912                    34.0                          
                     9/19/1912                    34.0                          
                     9/20/1912                    34.0                          
                     9/21/1912                    34.0                          
                     9/22/1912                    34.0                          
                     9/23/1912                    34.0                          
                     9/24/1912                    34.0                          
                     9/25/1912                    34.0                          
                     9/26/1912                    34.0                          
                     9/27/1912                    34.0                          
                     9/28/1912                    34.0                          
                     9/29/1912                    33.0                          
                     9/30/1912                    32.0                          
                     10/1/1912                    31.0                          
                     10/2/1912                    30.0                          
                     10/3/1912                    30.0                          
                     10/4/1912                    30.0                          
                     10/5/1912                    30.0                          
                     10/6/1912                    30.0                          
                     10/7/1912                    30.0                          
                     10/8/1912                    40.0                          
                     10/9/1912                    35.0                          
                    10/10/1912                    30.0                          
                    10/11/1912                    30.0                          
                    10/12/1912                    30.0                          
                    10/13/1912                    30.0                          
                    10/14/1912                    30.0                          
                    10/15/1912                    30.0                          
                    10/16/1912                    30.0                          
                    10/17/1912                    30.0                          
                    10/18/1912                    30.0                          
                    10/19/1912                    30.0                          
                    10/20/1912                    34.0                          
                    10/21/1912                    34.0                          
                    10/22/1912                    34.0                          
                    10/23/1912                    34.0                          
                    10/24/1912                    34.0                          
                    10/25/1912                    34.0                          
                    10/26/1912                    34.0                          
                    10/27/1912                    30.0                          
                    10/28/1912                    30.0                          
                    10/29/1912                    34.0                          
                    10/30/1912                    34.0                          
                    10/31/1912                    30.0                          
                     11/1/1912                    40.0                          
                     11/2/1912                    40.0                          
                     11/3/1912                    40.0                          
                     11/4/1912                    40.0                          
                     11/5/1912                    40.0                          
                     11/6/1912                    40.0                          
                     11/7/1912                    40.0                          
                     11/8/1912                    40.0                          
                     11/9/1912                    40.0                          
                    11/10/1912                    40.0                          
                    11/11/1912                    40.0                          
                    11/12/1912                    40.0                          
                    11/13/1912                    40.0                          
                    11/14/1912                    40.0                          
                    11/15/1912                    40.0                          
                    11/16/1912                    48.0                          
                    11/17/1912                    42.0                          
                    11/18/1912                    42.0                          
                    11/19/1912                    42.0                          
                    11/20/1912                    42.0                          
                    11/21/1912                    40.0                          
                    11/22/1912                    38.0                          
                    11/23/1912                    38.0                          
                    11/24/1912                    38.0                          
                    11/25/1912                    38.0                          
                    11/26/1912                    38.0                          
                    11/27/1912                    38.0                          
                    11/28/1912                    38.0                          
                    11/29/1912                    31.0                          
                    11/30/1912                    36.0                          
                     12/1/1912                    36.0                          
                     12/2/1912                    36.0                          
                     12/3/1912                    36.0                          
                     12/4/1912                    40.0                          
                     12/5/1912                    40.0                          
                     12/6/1912                    36.0                          
                     12/7/1912                    36.0                          
                     12/8/1912                    36.0                          
                     12/9/1912                    36.0                          
                    12/10/1912                    36.0                          
                    12/11/1912                    36.0                          
                    12/12/1912                    36.0                          
                    12/13/1912                    44.0                          
                    12/14/1912                    51.0                          
                    12/15/1912                    51.0                          
                    12/16/1912                    45.0                          
                    12/17/1912                    45.0                          
                    12/18/1912                    45.0                          
                    12/19/1912                    45.0                          
                    12/20/1912                    45.0                          
                    12/21/1912                    45.0                          
                    12/22/1912                    45.0                          
                    12/23/1912                    45.0                          
                    12/24/1912                    45.0                          
                    12/25/1912                    45.0                          
                    12/26/1912                    45.0                          
                    12/27/1912                    45.0                          
                    12/28/1912                    45.0                          
