                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                              UMATILLA R NR CAYUSE, OR                               
                Requested Period of Record:  10/1/1968 to  9/30/1975                 
 
Watershed ID #: 14020700                                              Basin: UMATILLA
Latitude: 45° 40' 58.473" *                       Longitude: -118° 31' 14.888" *
Hydrologic Unit: 17070103                          Public Land Survey: 2.00N-34.00E-2
 
Time: 2:34 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1968                    63.0                          
                     10/2/1968                    63.0                          
                     10/3/1968                    63.0                          
                     10/4/1968                    62.0                          
                     10/5/1968                    62.0                          
                     10/6/1968                    62.0                          
                     10/7/1968                    60.0                          
                     10/8/1968                    60.0                          
                     10/9/1968                    60.0                          
                    10/10/1968                    60.0                          
                    10/11/1968                    68.0                          
                    10/12/1968                    97.0                          
                    10/13/1968                   104                            
                    10/14/1968                    89.0                          
                    10/15/1968                    96.0                          
                    10/16/1968                   107                            
                    10/17/1968                    98.0                          
                    10/18/1968                    98.0                          
                    10/19/1968                    95.0                          
                    10/20/1968                   109                            
                    10/21/1968                   137                            
                    10/22/1968                   131                            
                    10/23/1968                   120                            
                    10/24/1968                   111                            
                    10/25/1968                   104                            
                    10/26/1968                    98.0                          
                    10/27/1968                    94.0                          
                    10/28/1968                    90.0                          
                    10/29/1968                    87.0                          
                    10/30/1968                    88.0                          
                    10/31/1968                    85.0                          
                     11/1/1968                    82.0                          
                     11/2/1968                    82.0                          
                     11/3/1968                    84.0                          
                     11/4/1968                    82.0                          
                     11/5/1968                    80.0                          
                     11/6/1968                    78.0                          
                     11/7/1968                    77.0                          
                     11/8/1968                    91.0                          
                     11/9/1968                   655                            
                    11/10/1968                   505                            
                    11/11/1968                   428                            
                    11/12/1968                   747                            
                    11/13/1968                   680                            
                    11/14/1968                   520                            
                    11/15/1968                   422                            
                    11/16/1968                   355                            
                    11/17/1968                   306                            
                    11/18/1968                   327                            
                    11/19/1968                   458                            
                    11/20/1968                   512                            
                    11/21/1968                   483                            
                    11/22/1968                   759                            
                    11/23/1968                   844                            
                    11/24/1968                   719                            
                    11/25/1968                   701                            
                    11/26/1968                   619                            
                    11/27/1968                   605                            
                    11/28/1968                   583                            
                    11/29/1968                   535                            
                    11/30/1968                   484                            
                     12/1/1968                   441                            
                     12/2/1968                   398                            
                     12/3/1968                   363                            
                     12/4/1968                   497                            
                     12/5/1968                   628                            
                     12/6/1968                   608                            
                     12/7/1968                   549                            
                     12/8/1968                   556                            
                     12/9/1968                   578                            
                    12/10/1968                   677                            
                    12/11/1968                  1210                            
                    12/12/1968                   988                            
                    12/13/1968                   776                            
                    12/14/1968                   643                            
                    12/15/1968                   560                            
                    12/16/1968                   535                            
                    12/17/1968                   473                            
                    12/18/1968                   444                            
                    12/19/1968                   392                            
                    12/20/1968                   347                            
                    12/21/1968                   306                            
                    12/22/1968                   286                            
                    12/23/1968                   270                            
                    12/24/1968                   407                            
                    12/25/1968                   590                            
                    12/26/1968                   529                            
                    12/27/1968                   456                            
                    12/28/1968                   420                            
                    12/29/1968                   340                            
                    12/30/1968                   200                            
                    12/31/1968                   220                            
                      1/1/1969                   240                            
                      1/2/1969                   255                            
                      1/3/1969                   270                            
                      1/4/1969                   521                            
                      1/5/1969                  2830                            
                      1/6/1969                  7740                            
                      1/7/1969                  4960                            
                      1/8/1969                  2850                            
                      1/9/1969                  1860                            
                     1/10/1969                  1400                            
                     1/11/1969                  1130                            
                     1/12/1969                   910                            
                     1/13/1969                   970                            
                     1/14/1969                  1050                            
                     1/15/1969                   950                            
                     1/16/1969                   827                            
                     1/17/1969                   744                            
                     1/18/1969                   648                            
                     1/19/1969                   591                            
                     1/20/1969                   534                            
                     1/21/1969                   490                            
                     1/22/1969                   426                            
                     1/23/1969                   368                            
                     1/24/1969                   318                            
                     1/25/1969                   319                            
                     1/26/1969                   402                            
                     1/27/1969                   407                            
                     1/28/1969                   336                            
                     1/29/1969                   317                            
                     1/30/1969                   310                            
                     1/31/1969                   288                            
                      2/1/1969                   255                            
                      2/2/1969                   239                            
                      2/3/1969                   227                            
                      2/4/1969                   221                            
                      2/5/1969                   229                            
                      2/6/1969                   221                            
                      2/7/1969                   217                            
                      2/8/1969                   222                            
                      2/9/1969                   260                            
                     2/10/1969                   267                            
                     2/11/1969                   709                            
                     2/12/1969                  1180                            
                     2/13/1969                   905                            
                     2/14/1969                   707                            
                     2/15/1969                   604                            
                     2/16/1969                   565                            
                     2/17/1969                   581                            
                     2/18/1969                   610                            
                     2/19/1969                   571                            
                     2/20/1969                   511                            
                     2/21/1969                   455                            
                     2/22/1969                   414                            
                     2/23/1969                   396                            
                     2/24/1969                   368                            
                     2/25/1969                   351                            
                     2/26/1969                   333                            
                     2/27/1969                   314                            
                     2/28/1969                   318                            
                      3/1/1969                   328                            
                      3/2/1969                   326                            
                      3/3/1969                   353                            
                      3/4/1969                   355                            
                      3/5/1969                   383                            
                      3/6/1969                   447                            
                      3/7/1969                   450                            
                      3/8/1969                   425                            
                      3/9/1969                   391                            
                     3/10/1969                   363                            
                     3/11/1969                   354                            
                     3/12/1969                   365                            
                     3/13/1969                   393                            
                     3/14/1969                   436                            
                     3/15/1969                   452                            
                     3/16/1969                   498                            
                     3/17/1969                   629                            
                     3/18/1969                  1040                            
                     3/19/1969                  1070                            
                     3/20/1969                  1000                            
                     3/21/1969                  1030                            
                     3/22/1969                  1120                            
                     3/23/1969                  1250                            
                     3/24/1969                  1080                            
                     3/25/1969                  1030                            
                     3/26/1969                  1210                            
                     3/27/1969                  1570                            
                     3/28/1969                  1810                            
                     3/29/1969                  2000                            
                     3/30/1969                  2240                            
                     3/31/1969                  2820                            
                      4/1/1969                  2670                            
                      4/2/1969                  2330                            
                      4/3/1969                  2150                            
                      4/4/1969                  1950                            
                      4/5/1969                  2330                            
                      4/6/1969                  2750                            
                      4/7/1969                  2140                            
                      4/8/1969                  1940                            
                      4/9/1969                  2050                            
                     4/10/1969                  2570                            
                     4/11/1969                  2350                            
                     4/12/1969                  2310                            
                     4/13/1969                  2890                            
                     4/14/1969                  2300                            
                     4/15/1969                  1820                            
                     4/16/1969                  1570                            
                     4/17/1969                  1610                            
                     4/18/1969                  1850                            
                     4/19/1969                  1660                            
                     4/20/1969                  1450                            
                     4/21/1969                  1420                            
                     4/22/1969                  1810                            
                     4/23/1969                  2200                            
                     4/24/1969                  2060                            
                     4/25/1969                  1650                            
                     4/26/1969                  1370                            
                     4/27/1969                  1220                            
                     4/28/1969                  1290                            
                     4/29/1969                  1920                            
                     4/30/1969                  1820                            
                      5/1/1969                  1780                            
                      5/2/1969                  1600                            
                      5/3/1969                  1380                            
                      5/4/1969                  1200                            
                      5/5/1969                  1080                            
                      5/6/1969                  1130                            
                      5/7/1969                  1270                            
                      5/8/1969                  1450                            
                      5/9/1969                  1550                            
                     5/10/1969                  1530                            
                     5/11/1969                  1490                            
                     5/12/1969                  1370                            
                     5/13/1969                  1250                            
                     5/14/1969                  1170                            
                     5/15/1969                  1070                            
                     5/16/1969                   910                            
                     5/17/1969                   794                            
                     5/18/1969                   749                            
                     5/19/1969                   713                            
                     5/20/1969                   704                            
                     5/21/1969                   634                            
                     5/22/1969                   586                            
                     5/23/1969                   562                            
                     5/24/1969                   554                            
                     5/25/1969                   506                            
                     5/26/1969                   469                            
                     5/27/1969                   434                            
                     5/28/1969                   378                            
                     5/29/1969                   344                            
                     5/30/1969                   434                            
                     5/31/1969                   384                            
                      6/1/1969                   332                            
                      6/2/1969                   300                            
                      6/3/1969                   285                            
                      6/4/1969                   270                            
                      6/5/1969                   260                            
                      6/6/1969                   260                            
                      6/7/1969                   243                            
                      6/8/1969                   227                            
                      6/9/1969                   219                            
                     6/10/1969                   219                            
                     6/11/1969                   223                            
                     6/12/1969                   191                            
                     6/13/1969                   191                            
                     6/14/1969                   166                            
                     6/15/1969                   154                            
                     6/16/1969                   142                            
                     6/17/1969                   134                            
                     6/18/1969                   123                            
                     6/19/1969                   117                            
                     6/20/1969                   112                            
