                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                            COTTONWOOD CR NR MISSION, OR                             
                Requested Period of Record: 11/18/1991 to  9/30/1997                 
 
Watershed ID #: 14020760                                              Basin: UMATILLA
Latitude: 45° 39' 37.002" *                       Longitude: -118° 35' 36.017" *
Hydrologic Unit: 17070103                    Public Land Survey: 2.00N-34.00E-8-SW-SW
 
Time: 2:34 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                    11/18/1991                     3.30                         
                    11/19/1991                     3.20                         
                    11/20/1991                     7.60                         
                    11/21/1991                     7.00                         
                    11/22/1991                     4.90                         
                    11/23/1991                     3.70                         
                    11/24/1991                     3.30                         
                    11/25/1991                    10.0                          
                    11/26/1991                    13.0                          
                    11/27/1991                    16.0                          
                    11/28/1991                    11.0                          
                    11/29/1991                     8.40                         
                    11/30/1991                     6.80                         
                     12/1/1991                     5.90                         
                     12/2/1991                     6.20                         
                     12/3/1991                     5.30                         
                     12/4/1991                     4.80                         
                     12/5/1991                     4.30                         
                     12/6/1991                    11.0                          
                     12/7/1991                    12.0                          
                     12/8/1991                     9.50                         
                     12/9/1991                     7.50                         
                    12/10/1991                     6.40                         
                    12/11/1991                     5.30                         
                    12/12/1991                     4.50                         
                    12/13/1991                     3.70                         
                    12/14/1991                     3.10                         
                    12/15/1991                     2.50                         
                    12/16/1991                     2.00                         
                    12/17/1991                     1.70                         
                    12/18/1991                     1.60                         
                    12/19/1991                     1.80                         
                    12/20/1991                     1.60                         
                    12/21/1991                     1.40                         
                    12/22/1991                     1.70                         
                    12/23/1991                     1.70                         
                    12/24/1991                     1.80                         
                    12/25/1991                     1.70                         
                    12/26/1991                     1.60                         
                    12/27/1991                     1.60                         
                    12/28/1991                     1.50                         
                    12/29/1991                     1.40                         
                    12/30/1991                     1.20                         
                    12/31/1991                     1.00                         
                      1/1/1992                     0.97                         
                      1/2/1992                     1.00                         
                      1/3/1992                     1.00                         
                      1/4/1992                     0.90                         
                      1/5/1992                     0.86                         
                      1/6/1992                     0.76                         
                      1/7/1992                     0.65                         
                      1/8/1992                     0.51                         
                      1/9/1992                     0.38                         
                     1/10/1992                     0.34                         
                     1/11/1992                     0.32                         
                     1/12/1992                     0.25                         
                     1/13/1992                     0.22                         
                     1/14/1992                     0.20                         
                     1/15/1992                     0.20                         
                     1/16/1992                     0.32                         
                     1/17/1992                     0.55                         
                     1/18/1992                     0.73                         
                     1/19/1992                     0.86                         
                     1/20/1992                     0.95                         
                     1/21/1992                     0.93                         
                     1/22/1992                     0.88                         
                     1/23/1992                     0.97                         
                     1/24/1992                     0.92                         
                     1/25/1992                     0.90                         
                     1/26/1992                     0.86                         
                     1/27/1992                     1.00                         
                     1/28/1992                     2.20                         
                     1/29/1992                     3.00                         
                     1/30/1992                     3.30                         
                     1/31/1992                     3.20                         
                      2/1/1992                     2.90                         
                      2/2/1992                     2.70                         
                      2/3/1992                     2.30                         
                      2/4/1992                     2.00                         
                      2/5/1992                     1.80                         
                      2/6/1992                     1.60                         
                      2/7/1992                     1.40                         
                      2/8/1992                     1.20                         
                      2/9/1992                     1.00                         
                     2/10/1992                     0.95                         
                     2/11/1992                     0.86                         
                     2/12/1992                     0.84                         
                     2/13/1992                     0.76                         
                     2/14/1992                     0.66                         
                     2/15/1992                     0.58                         
                     2/16/1992                     0.48                         
                     2/17/1992                     0.32                         
                     2/18/1992                     0.26                         
                     2/19/1992                     0.24                         
                     2/20/1992                     0.67                         
                     2/21/1992                     1.20                         
                     2/22/1992                     2.50                         
                     2/23/1992                     3.20                         
                     2/24/1992                     4.70                         
                     2/25/1992                     5.90                         
                     2/26/1992                     5.80                         
                     2/27/1992                     5.30                         
                     2/28/1992                     4.80                         
                     2/29/1992                     4.40                         
                      3/1/1992                     4.20                         
                      3/2/1992                     4.20                         
                      3/3/1992                     3.80                         
                      3/4/1992                     3.60                         
                      3/5/1992                     3.20                         
                      3/6/1992                     3.20                         
                      3/7/1992                     2.90                         
                      3/8/1992                     2.80                         
                      3/9/1992                     2.60                         
                     3/10/1992                     2.60                         
                     3/11/1992                     2.40                         
                     3/12/1992                     2.10                         
                     3/13/1992                     1.90                         
