                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                             WILDHORSE CR NR ATHENA, OR                              
                Requested Period of Record:  10/1/1966 to  9/30/1978                 
 
Watershed ID #: 14020900                                              Basin: UMATILLA
Latitude: 45° 45' 48.999" *                       Longitude: -118° 26' 24.009" *
Hydrologic Unit: 17070103                          Public Land Survey: 3.00N-35.00E-4
 
Time: 2:33 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1966                     0.00                         
                     10/2/1966                     0.00                         
                     10/3/1966                     0.00                         
                     10/4/1966                     0.00                         
                     10/5/1966                     0.00                         
                     10/6/1966                     0.00                         
                     10/7/1966                     0.00                         
                     10/8/1966                     0.00                         
                     10/9/1966                     0.00                         
                    10/10/1966                     0.00                         
                    10/11/1966                     0.00                         
                    10/12/1966                     0.00                         
                    10/13/1966                     0.00                         
                    10/14/1966                     0.00                         
                    10/15/1966                     0.00                         
                    10/16/1966                     0.00                         
                    10/17/1966                     0.00                         
                    10/18/1966                     0.00                         
                    10/19/1966                     0.00                         
                    10/20/1966                     0.00                         
                    10/21/1966                     0.00                         
                    10/22/1966                     0.00                         
                    10/23/1966                     0.00                         
                    10/24/1966                     0.00                         
                    10/25/1966                     0.00                         
                    10/26/1966                     0.00                         
                    10/27/1966                     0.00                         
                    10/28/1966                     0.00                         
                    10/29/1966                     0.00                         
                    10/30/1966                     0.00                         
                    10/31/1966                     0.00                         
                     11/1/1966                     0.00                         
                     11/2/1966                     0.00                         
                     11/3/1966                     0.00                         
                     11/4/1966                     0.00                         
                     11/5/1966                     0.00                         
                     11/6/1966                     0.00                         
                     11/7/1966                     0.00                         
                     11/8/1966                     0.00                         
                     11/9/1966                     0.00                         
                    11/10/1966                     0.00                         
                    11/11/1966                     0.00                         
                    11/12/1966                     0.00                         
                    11/13/1966                     0.00                         
                    11/14/1966                     0.00                         
                    11/15/1966                     0.00                         
                    11/16/1966                     0.00                         
                    11/17/1966                     0.00                         
                    11/18/1966                     0.00                         
                    11/19/1966                     0.00                         
                    11/20/1966                     0.00                         
                    11/21/1966                     0.00                         
                    11/22/1966                     0.00                         
                    11/23/1966                     0.00                         
                    11/24/1966                     0.00                         
                    11/25/1966                     0.00                         
                    11/26/1966                     0.00                         
                    11/27/1966                     0.00                         
                    11/28/1966                     0.50                         
                    11/29/1966                     1.40                         
                    11/30/1966                     1.30                         
                     12/1/1966                     2.40                         
                     12/2/1966                     4.30                         
                     12/3/1966                     3.50                         
                     12/4/1966                     3.10                         
                     12/5/1966                     2.90                         
                     12/6/1966                     2.90                         
                     12/7/1966                     2.90                         
                     12/8/1966                     2.20                         
                     12/9/1966                     1.70                         
                    12/10/1966                     1.60                         
                    12/11/1966                     2.20                         
                    12/12/1966                    14.0                          
                    12/13/1966                   213                            
                    12/14/1966                    59.0                          
                    12/15/1966                    22.0                          
                    12/16/1966                    12.0                          
                    12/17/1966                     9.30                         
                    12/18/1966                     6.60                         
                    12/19/1966                     5.30                         
                    12/20/1966                     4.80                         
                    12/21/1966                     5.30                         
                    12/22/1966                     4.00                         
                    12/23/1966                     3.50                         
                    12/24/1966                     2.90                         
                    12/25/1966                     2.60                         
