                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                             UMATILLA R AT PENDLETON, OR                             
                Requested Period of Record:  11/1/1903 to  9/30/2016                 
 
Watershed ID #: 14021000                                              Basin: UMATILLA
Latitude: 45° 40' 17.486" *                       Longitude: -118° 47' 34.321" *
Hydrologic Unit: 17070103                         Public Land Survey: 2.00N-32.00E-10
 
Time: 2:32 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     11/1/1903                   175                            
                     11/2/1903                   186                            
                     11/3/1903                   192                            
                     11/4/1903                   189                            
                     11/5/1903                   182                            
                     11/6/1903                   203                            
                     11/7/1903                   254                            
                     11/8/1903                   272                            
                     11/9/1903                   286                            
                    11/10/1903                   378                            
                    11/11/1903                   406                            
                    11/12/1903                   694                            
                    11/13/1903                   682                            
                    11/14/1903                   897                            
                    11/15/1903                  1170                            
                    11/16/1903                   967                            
                    11/17/1903                   820                            
                    11/18/1903                   754                            
                    11/19/1903                   700                            
                    11/20/1903                   800                            
                    11/21/1903                  1140                            
                    11/22/1903                  3110                            
                    11/23/1903                  2010                            
                    11/24/1903                  1820                            
                    11/25/1903                  1470                            
                    11/26/1903                  1250                            
                    11/27/1903                  1270                            
                    11/28/1903                  1210                            
                    11/29/1903                  1100                            
                    11/30/1903                  1070                            
                     12/1/1903                  1340                            
                     12/2/1903                  1410                            
                     12/3/1903                  1180                            
                     12/4/1903                   960                            
                     12/5/1903                   808                            
                     12/6/1903                   700                            
                     12/7/1903                   580                            
                     12/8/1903                   520                            
                     12/9/1903                   460                            
                    12/10/1903                   406                            
                    12/11/1903                   400                            
                    12/12/1903                   372                            
                    12/13/1903                   372                            
                    12/14/1903                   372                            
                    12/15/1903                   372                            
                    12/16/1903                   742                            
                    12/17/1903                  1330                            
                    12/18/1903                  1050                            
                    12/19/1903                   890                            
                    12/20/1903                   960                            
                    12/21/1903                   995                            
                    12/22/1903                  1170                            
                    12/23/1903                  1150                            
                    12/24/1903                   995                            
                    12/25/1903                   890                            
                    12/26/1903                   730                            
                    12/27/1903                   670                            
                    12/28/1903                   600                            
                    12/29/1903                   560                            
                    12/30/1903                   520                            
                    12/31/1903                   460                            
                      1/1/1904                   430                            
                      1/2/1904                   400                            
                      1/3/1904                   372                            
                      1/4/1904                   372                            
                      1/5/1904                   372                            
                      1/6/1904                   345                            
                      1/7/1904                   345                            
                      1/8/1904                   384                            
                      1/9/1904                   389                            
                     1/10/1904                   430                            
                     1/11/1904                   670                            
                     1/12/1904                   802                            
                     1/13/1904                  1210                            
                     1/14/1904                  1170                            
                     1/15/1904                  1430                            
                     1/16/1904                  1390                            
                     1/17/1904                  1290                            
                     1/18/1904                  1210                            
                     1/19/1904                  1040                            
                     1/20/1904                   890                            
                     1/21/1904                   790                            
                     1/22/1904                   911                            
                     1/23/1904                  1150                            
                     1/24/1904                  1140                            
                     1/25/1904                   960                            
                     1/26/1904                   925                            
                     1/27/1904                   790                            
                     1/28/1904                   670                            
                     1/29/1904                   610                            
                     1/30/1904                   580                            
                     1/31/1904                   550                            
                      2/1/1904                   520                            
                      2/2/1904                   490                            
                      2/3/1904                   460                            
                      2/4/1904                   460                            
                      2/5/1904                   520                            
                      2/6/1904                   520                            
                      2/7/1904                   520                            
                      2/8/1904                   490                            
                      2/9/1904                   460                            
                     2/10/1904                   400                            
                     2/11/1904                   400                            
                     2/12/1904                   430                            
                     2/13/1904                   430                            
                     2/14/1904                   400                            
                     2/15/1904                   412                            
                     2/16/1904                  1290                            
                     2/17/1904                  1270                            
                     2/18/1904                  1100                            
                     2/19/1904                  1030                            
                     2/20/1904                   960                            
                     2/21/1904                   890                            
                     2/22/1904                  1110                            
                     2/23/1904                  1490                            
                     2/24/1904                  1470                            
                     2/25/1904                  1410                            
                     2/26/1904                  1390                            
                     2/27/1904                  1490                            
                     2/28/1904                  1330                            
                     2/29/1904                  1190                            
                      3/1/1904                  1170                            
                      3/2/1904                  1210                            
                      3/3/1904                  1140                            
                      3/4/1904                  1100                            
                      3/5/1904                  1100                            
                      3/6/1904                  1390                            
                      3/7/1904                  2830                            
                      3/8/1904                  5320                            
                      3/9/1904                  5040                            
                     3/10/1904                  3530                            
                     3/11/1904                  2700                            
                     3/12/1904                  2130                            
                     3/13/1904                  1830                            
                     3/14/1904                  1530                            
                     3/15/1904                  1800                            
                     3/16/1904                  1620                            
                     3/17/1904                  1600                            
                     3/18/1904                  1730                            
                     3/19/1904                  1760                            
                     3/20/1904                  1890                            
                     3/21/1904                  1840                            
                     3/22/1904                  1620                            
                     3/23/1904                  1480                            
                     3/24/1904                  1230                            
                     3/25/1904                  1110                            
                     3/26/1904                  1030                            
                     3/27/1904                  1030                            
                     3/28/1904                  1110                            
                     3/29/1904                  2280                            
                     3/30/1904                  3550                            
                     3/31/1904                  2840                            
                      4/1/1904                  2380                            
                      4/2/1904                  2530                            
                      4/3/1904                  3130                            
                      4/4/1904                  2910                            
                      4/5/1904                  2660                            
                      4/6/1904                  3680                            
                      4/7/1904                  3160                            
                      4/8/1904                  2730                            
                      4/9/1904                  3280                            
                     4/10/1904                  4380                            
                     4/11/1904                  5490                            
                     4/12/1904                  5360                            
                     4/13/1904                  6080                            
                     4/14/1904                  5940                            
                     4/15/1904                  5540                            
                     4/16/1904                  4500                            
                     4/17/1904                  3800                            
                     4/18/1904                  3530                            
                     4/19/1904                  3960                            
                     4/20/1904                  4320                            
                     4/21/1904                  3760                            
                     4/22/1904                  3280                            
                     4/23/1904                  2580                            
                     4/24/1904                  2100                            
                     4/25/1904                  2030                            
                     4/26/1904                  2660                            
                     4/27/1904                  2910                            
                     4/28/1904                  2780                            
                     4/29/1904                  2580                            
                     4/30/1904                  2100                            
                      5/1/1904                  1780                            
                      5/2/1904                  1600                            
                      5/3/1904                  1820                            
                      5/4/1904                  1820                            
                      5/5/1904                  1710                            
                      5/6/1904                  1530                            
                      5/7/1904                  1530                            
                      5/8/1904                  1400                            
                      5/9/1904                  1420                            
                     5/10/1904                  1530                            
                     5/11/1904                  1550                            
                     5/12/1904                  1580                            
                     5/13/1904                  1580                            
                     5/14/1904                  1510                            
                     5/15/1904                  1440                            
                     5/16/1904                  1270                            
                     5/17/1904                  1250                            
                     5/18/1904                  1230                            
                     5/19/1904                  1350                            
                     5/20/1904                  1400                            
                     5/21/1904                  1400                            
                     5/22/1904                  1230                            
                     5/23/1904                  1190                            
                     5/24/1904                  1150                            
                     5/25/1904                   936                            
                     5/26/1904                   810                            
                     5/27/1904                   740                            
                     5/28/1904                   635                            
                     5/29/1904                   565                            
                     5/30/1904                   518                            
                     5/31/1904                   500                            
                      6/1/1904                                                  
                      6/2/1904                                                  
                      6/3/1904                                                  
                      6/4/1904                                                  
                      6/5/1904                                                  
                      6/6/1904                                                  
                      6/7/1904                                                  
                      6/8/1904                                                  
                      6/9/1904                                                  
                     6/10/1904                                                  
                     6/11/1904                                                  
                     6/12/1904                                                  
                     6/13/1904                                                  
                     6/14/1904                                                  
                     6/15/1904                                                  
                     6/16/1904                                                  
                     6/17/1904                                                  
                     6/18/1904                                                  
                     6/19/1904                                                  
                     6/20/1904                                                  
                     6/21/1904                                                  
                     6/22/1904                                                  
                     6/23/1904                                                  
                     6/24/1904                                                  
                     6/25/1904                                                  
                     6/26/1904                                                  
                     6/27/1904                                                  
                     6/28/1904                                                  
                     6/29/1904                                                  
                     6/30/1904                                                  
                      7/1/1904                                                  
                      7/2/1904                                                  
                      7/3/1904                                                  
                      7/4/1904                                                  
                      7/5/1904                                                  
                      7/6/1904                                                  
                      7/7/1904                                                  
                      7/8/1904                                                  
                      7/9/1904                                                  
                     7/10/1904                                                  
                     7/11/1904                                                  
                     7/12/1904                                                  
                     7/13/1904                                                  
