                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                       UMATILLA R AB MCKAY CR NR PENDLETON, OR                       
                Requested Period of Record:  10/1/1923 to  9/30/1934                 
 
Watershed ID #: 14022000                                              Basin: UMATILLA
Latitude: 45° 40' 17.479" *                       Longitude: -118° 50' 10.972" *
Hydrologic Unit: 17070103                          Public Land Survey: 2.00N-32.00E-8
 
Time: 2:30 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1923                    45.0                          
                     10/2/1923                    45.0                          
                     10/3/1923                    50.0                          
                     10/4/1923                    55.0                          
                     10/5/1923                    63.0                          
                     10/6/1923                    74.0                          
                     10/7/1923                   106                            
                     10/8/1923                   247                            
                     10/9/1923                   198                            
                    10/10/1923                   158                            
                    10/11/1923                   146                            
                    10/12/1923                   128                            
                    10/13/1923                   120                            
                    10/14/1923                   112                            
                    10/15/1923                   112                            
                    10/16/1923                   114                            
                    10/17/1923                   126                            
                    10/18/1923                   123                            
                    10/19/1923                   120                            
                    10/20/1923                   114                            
                    10/21/1923                   112                            
                    10/22/1923                   205                            
                    10/23/1923                   233                            
                    10/24/1923                   205                            
                    10/25/1923                   184                            
                    10/26/1923                   178                            
                    10/27/1923                   171                            
                    10/28/1923                   167                            
                    10/29/1923                   158                            
                    10/30/1923                   149                            
                    10/31/1923                   134                            
                     11/1/1923                   134                            
                     11/2/1923                   137                            
                     11/3/1923                   134                            
                     11/4/1923                   134                            
                     11/5/1923                   126                            
                     11/6/1923                   120                            
                     11/7/1923                   112                            
                     11/8/1923                   112                            
                     11/9/1923                   109                            
                    11/10/1923                   106                            
                    11/11/1923                   106                            
                    11/12/1923                   106                            
                    11/13/1923                   101                            
                    11/14/1923                    90.0                          
                    11/15/1923                    90.0                          
                    11/16/1923                    90.0                          
                    11/17/1923                    90.0                          
                    11/18/1923                    91.0                          
                    11/19/1923                    94.0                          
                    11/20/1923                    98.0                          
                    11/21/1923                    98.0                          
                    11/22/1923                   103                            
                    11/23/1923                   103                            
                    11/24/1923                   137                            
                    11/25/1923                   226                            
                    11/26/1923                   233                            
                    11/27/1923                   230                            
                    11/28/1923                   208                            
