                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                               SLUSHER CN NR ECHO, OR                                
                Requested Period of Record:   4/1/1927 to  7/31/1931                 
 
Watershed ID #: 14026500                                              Basin: UMATILLA
Latitude: 45° 41' 59.0" *                          Longitude: -119° 8' 14.0" *
Hydrologic Unit: 17070103                         Public Land Survey: 3.00N-29.00E-36
 
Time: 2:27 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                      4/1/1927                     2.60                         
                      4/2/1927                     3.20                         
                      4/3/1927                     3.70                         
                      4/4/1927                     3.70                         
                      4/5/1927                     3.70                         
                      4/6/1927                     3.70                         
                      4/7/1927                     3.50                         
                      4/8/1927                     3.40                         
                      4/9/1927                     3.30                         
                     4/10/1927                     3.40                         
                     4/11/1927                     3.60                         
                     4/12/1927                     3.60                         
                     4/13/1927                     1.80                         
                     4/14/1927                     0.00                         
                     4/15/1927                     0.00                         
                     4/16/1927                     0.00                         
                     4/17/1927                     0.00                         
                     4/18/1927                     0.00                         
                     4/19/1927                     0.80                         
                     4/20/1927                     2.50                         
                     4/21/1927                     3.40                         
                     4/22/1927                     3.80                         
                     4/23/1927                     4.00                         
                     4/24/1927                     4.40                         
                     4/25/1927                     4.70                         
                     4/26/1927                     5.20                         
                     4/27/1927                     5.60                         
                     4/28/1927                     5.60                         
                     4/29/1927                     3.40                         
                     4/30/1927                     1.10                         
                      5/1/1927                     0.00                         
                      5/2/1927                     0.00                         
                      5/3/1927                     2.60                         
                      5/4/1927                     2.90                         
                      5/5/1927                     2.90                         
                      5/6/1927                     2.90                         
                      5/7/1927                     2.90                         
                      5/8/1927                     1.00                         
                      5/9/1927                     2.40                         
                     5/10/1927                     3.60                         
                     5/11/1927                     5.00                         
                     5/12/1927                     5.00                         
                     5/13/1927                     5.00                         
                     5/14/1927                     5.00                         
                     5/15/1927                     5.00                         
                     5/16/1927                     5.00                         
                     5/17/1927                     3.40                         
                     5/18/1927                     1.60                         
                     5/19/1927                     2.50                         
                     5/20/1927                     2.50                         
                     5/21/1927                     2.50                         
                     5/22/1927                     2.50                         
                     5/23/1927                     2.50                         
                     5/24/1927                     2.70                         
                     5/25/1927                     2.70                         
                     5/26/1927                     2.70                         
                     5/27/1927                     3.40                         
                     5/28/1927                     3.60                         
                     5/29/1927                     3.60                         
                     5/30/1927                     3.60                         
                     5/31/1927                     3.60                         
                      6/1/1927                     1.20                         
                      6/2/1927                     2.40                         
                      6/3/1927                     3.60                         
                      6/4/1927                     3.60                         
                      6/5/1927                     3.40                         
                      6/6/1927                     3.40                         
                      6/7/1927                     3.40                         
                      6/8/1927                     1.40                         
                      6/9/1927                     0.00                         
                     6/10/1927                     0.00                         
                     6/11/1927                     0.00                         
                     6/12/1927                     0.00                         
                     6/13/1927                     0.00                         
                     6/14/1927                     0.00                         
                     6/15/1927                     0.00                         
                     6/16/1927                     0.00                         
                     6/17/1927                     0.70                         
                     6/18/1927                     3.40                         
                     6/19/1927                     3.40                         
                     6/20/1927                     3.20                         
                     6/21/1927                     3.20                         
                     6/22/1927                     3.20                         
                     6/23/1927                     3.20                         
                     6/24/1927                     3.20                         
                     6/25/1927                     3.20                         
                     6/26/1927                     3.20                         
                     6/27/1927                     3.20                         
                     6/28/1927                     3.20                         
                     6/29/1927                     3.40                         
                     6/30/1927                     3.40                         
                      7/1/1927                     3.40                         
                      7/2/1927                     3.40                         
                      7/3/1927                     3.40                         
                      7/4/1927                     3.40                         
                      7/5/1927                     3.40                         
                      7/6/1927                     3.40                         
                      7/7/1927                     3.40                         
                      7/8/1927                     3.40                         
                      7/9/1927                     3.40                         
                     7/10/1927                     3.40                         
                     7/11/1927                     1.10                         
                     7/12/1927                     0.00                         
                     7/13/1927                     0.00                         
                     7/14/1927                     0.00                         
                     7/15/1927                     0.00                         
                     7/16/1927                     0.00                         
                     7/17/1927                     0.00                         
                     7/18/1927                     0.00                         
                     7/19/1927                     0.00                         
                     7/20/1927                     0.00                         
                     7/21/1927                     0.00                         
                     7/22/1927                     0.00                         
                     7/23/1927                     0.00                         
                     7/24/1927                     0.00                         
                     7/25/1927                     0.00                         
                     7/26/1927                     0.00                         
                     7/27/1927                     0.00                         
                     7/28/1927                     0.00                         
                     7/29/1927                     0.00                         
                     7/30/1927                     0.00                         
                     7/31/1927                     0.00                         
                      8/1/1927                     0.00                         
                      8/2/1927                     0.00                         
                      8/3/1927                     1.50                         
                      8/4/1927                     3.00                         
                      8/5/1927                     3.00                         
                      8/6/1927                     3.00                         
                      8/7/1927                     3.20                         
                      8/8/1927                     3.30                         
                      8/9/1927                     3.30                         
                     8/10/1927                     1.10                         
                     8/11/1927                     0.00                         
                     8/12/1927                     0.00                         
                     8/13/1927                     0.00                         
                     8/14/1927                     0.00                         
                     8/15/1927                     0.00                         
                     8/16/1927                     0.00                         
                     8/17/1927                     0.00                         
                     8/18/1927                     0.00                         
                     8/19/1927                     0.00                         
                     8/20/1927                     0.00                         
                     8/21/1927                     0.00                         
                     8/22/1927                     0.00                         
                     8/23/1927                     0.00                         
                     8/24/1927                     0.00                         
                     8/25/1927                     0.00                         
                     8/26/1927                     0.00                         
                     8/27/1927                     0.00                         
                     8/28/1927                     0.00                         
                     8/29/1927                     0.00                         
                     8/30/1927                     0.00                         
                     8/31/1927                     0.00                         
                      9/1/1927                     0.00                         
                      9/2/1927                     0.00                         
                      9/3/1927                     0.00                         
                      9/4/1927                     0.00                         
                      9/5/1927                     0.00                         
                      9/6/1927                     0.00                         
                      9/7/1927                     0.00                         
                      9/8/1927                     0.00                         
                      9/9/1927                     0.00                         
                     9/10/1927                     0.00                         
                     9/11/1927                     0.00                         
                     9/12/1927                     0.00                         
                     9/13/1927                     0.00                         
                     9/14/1927                     0.00                         
                     9/15/1927                     0.00                         
                     9/16/1927                     0.00                         
                     9/17/1927                     0.00                         
                     9/18/1927                     0.00                         
                     9/19/1927                     0.00                         
                     9/20/1927                     0.00                         
                     9/21/1927                     0.00                         
                     9/22/1927                     0.00                         
                     9/23/1927                     0.00                         
