                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                           PIONEER COURTNEY CN NR ECHO, OR                           
                Requested Period of Record:   4/1/1927 to  9/30/1978                 
 
Watershed ID #: 14030600                                              Basin: UMATILLA
Latitude: 45° 44' 8.996" *                       Longitude: -119° 12' 43.989" *
Hydrologic Unit: 17070103                         Public Land Survey: 3.00N-29.00E-17
 
Time: 2:29 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                      4/1/1927                    15.0                          
                      4/2/1927                    15.0                          
                      4/3/1927                    15.0                          
                      4/4/1927                    15.0                          
                      4/5/1927                    15.0                          
                      4/6/1927                    15.0                          
                      4/7/1927                    15.0                          
                      4/8/1927                    15.0                          
                      4/9/1927                    15.0                          
                     4/10/1927                    15.0                          
                     4/11/1927                    17.0                          
                     4/12/1927                    17.0                          
                     4/13/1927                    17.0                          
                     4/14/1927                    26.0                          
                     4/15/1927                    31.0                          
                     4/16/1927                    25.0                          
                     4/17/1927                    22.0                          
                     4/18/1927                    20.0                          
                     4/19/1927                    25.0                          
                     4/20/1927                    22.0                          
                     4/21/1927                    24.0                          
                     4/22/1927                    24.0                          
                     4/23/1927                    24.0                          
                     4/24/1927                    16.0                          
                     4/25/1927                    14.0                          
                     4/26/1927                    16.0                          
                     4/27/1927                    16.0                          
                     4/28/1927                    19.0                          
                     4/29/1927                    22.0                          
                     4/30/1927                    22.0                          
                      5/1/1927                    22.0                          
                      5/2/1927                     2.00                         
                      5/3/1927                    18.0                          
                      5/4/1927                    19.0                          
                      5/5/1927                    19.0                          
                      5/6/1927                    20.0                          
                      5/7/1927                    20.0                          
                      5/8/1927                    19.0                          
                      5/9/1927                    30.0                          
                     5/10/1927                    30.0                          
                     5/11/1927                    26.0                          
                     5/12/1927                    30.0                          
                     5/13/1927                    15.0                          
                     5/14/1927                    15.0                          
                     5/15/1927                    20.0                          
                     5/16/1927                    28.0                          
                     5/17/1927                    28.0                          
                     5/18/1927                    26.0                          
                     5/19/1927                    26.0                          
                     5/20/1927                    28.0                          
                     5/21/1927                    28.0                          
                     5/22/1927                    28.0                          
                     5/23/1927                    26.0                          
                     5/24/1927                    31.0                          
                     5/25/1927                    31.0                          
                     5/26/1927                    30.0                          
