                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                         BUTTER CR AT FOLEYS BR NR ECHO, OR                          
                Requested Period of Record:   3/4/1937 to  9/30/1948                 
 
Watershed ID #: 14032050                                              Basin: UMATILLA
Latitude: 45° 38' 23.476" *                        Longitude: -119° 25' 7.057" *
Hydrologic Unit: 17070103                         Public Land Survey: 2.00N-27.00E-22
 
Time: 2:32 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                      3/4/1937                    16.0                          
                      3/5/1937                    35.0                          
                      3/6/1937                    38.0                          
                      3/7/1937                    55.0                          
                      3/8/1937                    48.0                          
                      3/9/1937                    53.0                          
                     3/10/1937                    74.0                          
                     3/11/1937                    74.0                          
                     3/12/1937                    82.0                          
                     3/13/1937                    70.0                          
                     3/14/1937                    51.0                          
                     3/15/1937                    46.0                          
                     3/16/1937                    72.0                          
                     3/17/1937                    73.0                          
                     3/18/1937                    76.0                          
                     3/19/1937                    54.0                          
                     3/20/1937                    37.0                          
                     3/21/1937                    22.0                          
                     3/22/1937                    26.0                          
                     3/23/1937                    37.0                          
                     3/24/1937                    38.0                          
                     3/25/1937                    58.0                          
                     3/26/1937                    77.0                          
                     3/27/1937                    77.0                          
                     3/28/1937                    69.0                          
                     3/29/1937                    61.0                          
                     3/30/1937                    57.0                          
                     3/31/1937                    62.0                          
                      4/1/1937                    87.0                          
                      4/2/1937                    98.0                          
                      4/3/1937                    56.0                          
                      4/4/1937                    47.0                          
                      4/5/1937                    77.0                          
                      4/6/1937                    72.0                          
                      4/7/1937                    64.0                          
                      4/8/1937                    44.0                          
                      4/9/1937                    40.0                          
                     4/10/1937                    64.0                          
                     4/11/1937                    68.0                          
                     4/12/1937                    65.0                          
                     4/13/1937                    83.0                          
                     4/14/1937                   186                            
                     4/15/1937                   232                            
                     4/16/1937                   242                            
                     4/17/1937                   178                            
                     4/18/1937                   145                            
                     4/19/1937                   129                            
                     4/20/1937                   113                            
                     4/21/1937                   102                            
                     4/22/1937                   107                            
                     4/23/1937                    95.0                          
                     4/24/1937                    87.0                          
                     4/25/1937                    79.0                          
                     4/26/1937                    85.0                          
                     4/27/1937                    91.0                          
                     4/28/1937                   100                            
                     4/29/1937                    80.0                          
                     4/30/1937                    69.0                          
                      5/1/1937                    64.0                          
                      5/2/1937                    67.0                          
                      5/3/1937                    74.0                          
                      5/4/1937                    76.0                          
                      5/5/1937                    80.0                          
                      5/6/1937                    64.0                          
                      5/7/1937                    51.0                          
                      5/8/1937                    42.0                          
                      5/9/1937                    37.0                          
                     5/10/1937                    41.0                          
                     5/11/1937                    38.0                          
                     5/12/1937                    28.0                          
                     5/13/1937                    26.0                          
                     5/14/1937                    24.0                          
                     5/15/1937                    26.0                          
                     5/16/1937                    30.0                          
                     5/17/1937                    27.0                          
                     5/18/1937                    16.0                          
                     5/19/1937                    11.0                          
                     5/20/1937                     3.00                         
                     5/21/1937                     3.00                         
                     5/22/1937                     6.00                         
                     5/23/1937                     8.00                         
                     5/24/1937                    10.0                          
                     5/25/1937                     5.00                         
                     5/26/1937                     6.00                         
                     5/27/1937                     6.00                         
                     5/28/1937                    13.0                          
                     5/29/1937                    11.0                          
                     5/30/1937                     9.00                         
                     5/31/1937                     9.00                         
                      6/1/1937                     8.00                         
                      6/2/1937                     6.00                         
                      6/3/1937                     7.00                         
                      6/4/1937                     7.00                         
                      6/5/1937                     5.00                         
                      6/6/1937                     3.00                         
                      6/7/1937                     4.00                         
                      6/8/1937                     5.00                         
                      6/9/1937                     6.00                         
                     6/10/1937                     8.00                         
                     6/11/1937                     8.00                         
                     6/12/1937                     8.00                         
                     6/13/1937                     8.00                         
                     6/14/1937                     7.00                         
                     6/15/1937                     7.00                         
                     6/16/1937                     6.00                         
                     6/17/1937                     6.00                         
                     6/18/1937                     4.00                         
                     6/19/1937                     4.00                         
                     6/20/1937                     9.00                         
                     6/21/1937                    14.0                          
                     6/22/1937                    15.0                          
                     6/23/1937                    15.0                          
                     6/24/1937                    16.0                          
                     6/25/1937                    16.0                          
                     6/26/1937                    16.0                          
                     6/27/1937                    12.0                          
                     6/28/1937                    11.0                          
                     6/29/1937                    10.0                          
                     6/30/1937                     9.00                         
                      7/1/1937                     8.00                         
                      7/2/1937                     7.00                         
                      7/3/1937                     5.00                         
                      7/4/1937                     3.00                         
                      7/5/1937                     1.00                         
                      7/6/1937                     1.00                         
                      7/7/1937                     0.00                         
                      7/8/1937                     0.00                         
                      7/9/1937                     0.00                         
                     7/10/1937                     0.00                         
                     7/11/1937                     0.00                         
                     7/12/1937                     0.00                         
                     7/13/1937                     0.00                         
                     7/14/1937                     0.00                         
                     7/15/1937                     0.00                         
                     7/16/1937                     0.00                         
                     7/17/1937                     0.00                         
                     7/18/1937                     0.00                         
                     7/19/1937                     0.00                         
                     7/20/1937                     0.00                         
                     7/21/1937                     0.00                         
                     7/22/1937                     0.00                         
                     7/23/1937                     0.00                         
                     7/24/1937                     0.00                         
                     7/25/1937                     0.00                         
                     7/26/1937                     0.00                         
                     7/27/1937                     0.00                         
                     7/28/1937                     0.00                         
                     7/29/1937                     0.00                         
                     7/30/1937                     0.00                         
                     7/31/1937                     0.00                         
                      8/1/1937                     0.00                         
                      8/2/1937                     0.00                         
                      8/3/1937                     0.00                         
                      8/4/1937                     0.00                         
                      8/5/1937                     0.00                         
                      8/6/1937                     0.00                         
                      8/7/1937                     0.00                         
                      8/8/1937                     0.00                         
                      8/9/1937                     0.00                         
                     8/10/1937                     0.00                         
                     8/11/1937                     0.00                         
                     8/12/1937                     0.00                         
                     8/13/1937                     0.00                         
                     8/14/1937                     0.00                         
                     8/15/1937                     0.00                         
                     8/16/1937                     0.00                         
                     8/17/1937                     0.00                         
                     8/18/1937                     0.00                         
                     8/19/1937                     0.00                         
                     8/20/1937                     0.00                         
                     8/21/1937                     0.00                         
                     8/22/1937                     0.00                         
                     8/23/1937                     0.00                         
                     8/24/1937                     0.00                         
                     8/25/1937                     0.00                         
                     8/26/1937                     0.00                         
                     8/27/1937                     0.00                         
                     8/28/1937                     0.00                         
                     8/29/1937                     0.00                         
                     8/30/1937                     0.00                         
                     8/31/1937                     0.00                         
                      9/1/1937                     0.00                         
