                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                             UMATILLA R NR UMATILLA, OR                              
                Requested Period of Record:  11/1/1903 to   8/5/2018                 
 
Watershed ID #: 14033500                                              Basin: UMATILLA
Latitude: 45° 54' 9.48" *                       Longitude: -119° 19' 37.045" *
Hydrologic Unit: 17070103                         Public Land Survey: 5.00N-28.00E-21
 
Time: 2:33 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     11/1/1903                   171                            
                     11/2/1903                   130                            
                     11/3/1903                    88.0                          
                     11/4/1903                    88.0                          
                     11/5/1903                    88.0                          
                     11/6/1903                   106                            
                     11/7/1903                   124                            
                     11/8/1903                   148                            
                     11/9/1903                   171                            
                    11/10/1903                   231                            
                    11/11/1903                   291                            
                    11/12/1903                   327                            
                    11/13/1903                   363                            
                    11/14/1903                   363                            
                    11/15/1903                   363                            
                    11/16/1903                   662                            
                    11/17/1903                   962                            
                    11/18/1903                   903                            
                    11/19/1903                   843                            
                    11/20/1903                   735                            
                    11/21/1903                   627                            
                    11/22/1903                  1570                            
                    11/23/1903                  2510                            
                    11/24/1903                  2360                            
                    11/25/1903                  2200                            
                    11/26/1903                  1910                            
                    11/27/1903                  1610                            
                    11/28/1903                  1480                            
                    11/29/1903                  1410                            
                    11/30/1903                  1480                            
                     12/1/1903                  1540                            
                     12/2/1903                  1610                            
                     12/3/1903                  1480                            
                     12/4/1903                  1340                            
                     12/5/1903                  1150                            
                     12/6/1903                   962                            
                     12/7/1903                   903                            
                     12/8/1903                   843                            
                     12/9/1903                   787                            
                    12/10/1903                   731                            
                    12/11/1903                   679                            
                    12/12/1903                   627                            
                    12/13/1903                   579                            
                    12/14/1903                   531                            
                    12/15/1903                   531                            
                    12/16/1903                   531                            
                    12/17/1903                  1070                            
                    12/18/1903                  1610                            
                    12/19/1903                  1480                            
                    12/20/1903                  1340                            
                    12/21/1903                  1550                            
                    12/22/1903                  1750                            
                    12/23/1903                  1680                            
                    12/24/1903                  1610                            
                    12/25/1903                  1480                            
                    12/26/1903                  1340                            
                    12/27/1903                  1150                            
                    12/28/1903                   962                            
                    12/29/1903                   846                            
                    12/30/1903                   731                            
                    12/31/1903                   731                            
                      1/1/1904                   627                            
                      1/2/1904                   627                            
                      1/3/1904                   627                            
                      1/4/1904                   627                            
                      1/5/1904                   627                            
                      1/6/1904                   531                            
                      1/7/1904                   531                            
                      1/8/1904                   531                            
                      1/9/1904                   531                            
                     1/10/1904                   627                            
                     1/11/1904                   843                            
                     1/12/1904                  1080                            
                     1/13/1904                  1210                            
                     1/14/1904                  1610                            
                     1/15/1904                  1480                            
                     1/16/1904                  1750                            
                     1/17/1904                  1750                            
                     1/18/1904                  1610                            
                     1/19/1904                  1610                            
                     1/20/1904                  1480                            
                     1/21/1904                  1340                            
                     1/22/1904                  1210                            
                     1/23/1904                  1080                            
                     1/24/1904                  1080                            
                     1/25/1904                  1210                            
                     1/26/1904                  1210                            
                     1/27/1904                  1210                            
                     1/28/1904                  1080                            
                     1/29/1904                   962                            
                     1/30/1904                   962                            
                     1/31/1904                   843                            
                      2/1/1904                   843                            
                      2/2/1904                   731                            
                      2/3/1904                   731                            
                      2/4/1904                   627                            
                      2/5/1904                   627                            
                      2/6/1904                   627                            
                      2/7/1904                   731                            
                      2/8/1904                   731                            
                      2/9/1904                   731                            
                     2/10/1904                   731                            
                     2/11/1904                   627                            
                     2/12/1904                   627                            
                     2/13/1904                   627                            
                     2/14/1904                   627                            
                     2/15/1904                   627                            
                     2/16/1904                  1340                            
                     2/17/1904                  2050                            
                     2/18/1904                  1900                            
                     2/19/1904                  1750                            
                     2/20/1904                  1610                            
                     2/21/1904                  1480                            
                     2/22/1904                  1750                            
                     2/23/1904                  2050                            
                     2/24/1904                  1970                            
                     2/25/1904                  1900                            
                     2/26/1904                  1820                            
                     2/27/1904                  1750                            
                     2/28/1904                  1750                            
                     2/29/1904                  1750                            
                      3/1/1904                  1820                            
                      3/2/1904                  1790                            
                      3/3/1904                  1750                            
                      3/4/1904                  1790                            
                      3/5/1904                  1820                            
                      3/6/1904                  2250                            
                      3/7/1904                  2670                            
                      3/8/1904                  4930                            
                      3/9/1904                  7350                            
                     3/10/1904                  5570                            
                     3/11/1904                  3790                            
                     3/12/1904                  3230                            
                     3/13/1904                  2670                            
                     3/14/1904                  2630                            
                     3/15/1904                  2590                            
                     3/16/1904                  2470                            
                     3/17/1904                  2360                            
                     3/18/1904                  2200                            
                     3/19/1904                  2050                            
                     3/20/1904                  2050                            
                     3/21/1904                  2050                            
                     3/22/1904                  2120                            
                     3/23/1904                  2050                            
                     3/24/1904                  1970                            
                     3/25/1904                  1970                            
                     3/26/1904                  1750                            
                     3/27/1904                  1610                            
                     3/28/1904                  1480                            
                     3/29/1904                  2670                            
                     3/30/1904                  5700                            
                     3/31/1904                  4730                            
                      4/1/1904                  4220                            
                      4/2/1904                  3700                            
                      4/3/1904                  3880                            
                      4/4/1904                  4160                            
                      4/5/1904                  4070                            
                      4/6/1904                  3880                            
                      4/7/1904                  4640                            
                      4/8/1904                  4440                            
                      4/9/1904                  4640                            
                     4/10/1904                  4830                            
                     4/11/1904                  5990                            
                     4/12/1904                  6580                            
                     4/13/1904                  6870                            
                     4/14/1904                  7550                            
                     4/15/1904                  8030                            
                     4/16/1904                  7550                            
                     4/17/1904                  5700                            
                     4/18/1904                  4640                            
                     4/19/1904                  3700                            
                     4/20/1904                  4070                            
                     4/21/1904                  4440                            
                     4/22/1904                  3880                            
                     4/23/1904                  3340                            
                     4/24/1904                  3000                            
                     4/25/1904                  2360                            
                     4/26/1904                  1750                            
                     4/27/1904                  2200                            
                     4/28/1904                  2360                            
                     4/29/1904                  2510                            
                     4/30/1904                  2670                            
                      5/1/1904                  2480                            
                      5/2/1904                  2280                            
                      5/3/1904                  2050                            
                      5/4/1904                  1970                            
                      5/5/1904                  1900                            
                      5/6/1904                  1820                            
                      5/7/1904                  1820                            
                      5/8/1904                  1820                            
                      5/9/1904                  1680                            
                     5/10/1904                  1540                            
                     5/11/1904                  1750                            
                     5/12/1904                  1680                            
                     5/13/1904                  1480                            
                     5/14/1904                  1480                            
                     5/15/1904                  1410                            
                     5/16/1904                  1410                            
                     5/17/1904                  1340                            
                     5/18/1904                  1280                            
                     5/19/1904                  1280                            
                     5/20/1904                  1340                            
                     5/21/1904                  1210                            
                     5/22/1904                  1210                            
                     5/23/1904                  1210                            
                     5/24/1904                  1210                            
                     5/25/1904                  1080                            
                     5/26/1904                   962                            
                     5/27/1904                   786                            
                     5/28/1904                   678                            
                     5/29/1904                   578                            
                     5/30/1904                   531                            
                     5/31/1904                   486                            
                      6/1/1904                   508                            
                      6/2/1904                   531                            
                      6/3/1904                   578                            
                      6/4/1904                   627                            
                      6/5/1904                   531                            
                      6/6/1904                   508                            
                      6/7/1904                   486                            
                      6/8/1904                   443                            
                      6/9/1904                   443                            
                     6/10/1904                   402                            
                     6/11/1904                   363                            
                     6/12/1904                   258                            
                     6/13/1904                   258                            
                     6/14/1904                   227                            
                     6/15/1904                   227                            
                     6/16/1904                   212                            
                     6/17/1904                   198                            
                     6/18/1904                   184                            
                     6/19/1904                   171                            
                     6/20/1904                   146                            
                     6/21/1904                   124                            
                     6/22/1904                   105                            
                     6/23/1904                    88.0                          
                     6/24/1904                    88.0                          
                     6/25/1904                    88.0                          
                     6/26/1904                    81.0                          
                     6/27/1904                    74.0                          
                     6/28/1904                    58.0                          
                     6/29/1904                    43.0                          
                     6/30/1904                    34.0                          
                      7/1/1904                    25.0                          
                      7/2/1904                    25.0                          
                      7/3/1904                    25.0                          
                      7/4/1904                   130                            
                      7/5/1904                   443                            
                      7/6/1904                   402                            
                      7/7/1904                   363                            
                      7/8/1904                   291                            
                      7/9/1904                   227                            
                     7/10/1904                   198                            
                     7/11/1904                   171                            
                     7/12/1904                   258                            
                     7/13/1904                   363                            
                     7/14/1904                   227                            
                     7/15/1904                   124                            
                     7/16/1904                   124                            
                     7/17/1904                   124                            
                     7/18/1904                   130                            
                     7/19/1904                   105                            
                     7/20/1904                    94.0                          
                     7/21/1904                    88.0                          
                     7/22/1904                    88.0                          
                     7/23/1904                    88.0                          
                     7/24/1904                    88.0                          
                     7/25/1904                    88.0                          
                     7/26/1904                    74.0                          
                     7/27/1904                    62.0                          
                     7/28/1904                    46.0                          
                     7/29/1904                    36.0                          
                     7/30/1904                    32.0                          
                     7/31/1904                    30.0                          
                      8/1/1904                    30.0                          
                      8/2/1904                    30.0                          
                      8/3/1904                    25.0                          
                      8/4/1904                    21.0                          
                      8/5/1904                    19.0                          
                      8/6/1904                    17.0                          
                      8/7/1904                    16.0                          
                      8/8/1904                    14.0                          
                      8/9/1904                    14.0                          
                     8/10/1904                    14.0                          
                     8/11/1904                    12.0                          
                     8/12/1904                    11.0                          
                     8/13/1904                    10.0                          
                     8/14/1904                     9.00                         
                     8/15/1904                     9.00                         
                     8/16/1904                     9.00                         
                     8/17/1904                     9.00                         
                     8/18/1904                     9.00                         
                     8/19/1904                     9.00                         
                     8/20/1904                     9.00                         
                     8/21/1904                     9.00                         
                     8/22/1904                     9.00                         
                     8/23/1904                     9.00                         
                     8/24/1904                     9.00                         
                     8/25/1904                    10.0                          
                     8/26/1904                    11.0                          
                     8/27/1904                    11.0                          
                     8/28/1904                    11.0                          
                     8/29/1904                    11.0                          
                     8/30/1904                    11.0                          
                     8/31/1904                    11.0                          
                      9/1/1904                    11.0                          
                      9/2/1904                    12.0                          
                      9/3/1904                    14.0                          
                      9/4/1904                    14.0                          
                      9/5/1904                    14.0                          
                      9/6/1904                    14.0                          
                      9/7/1904                    14.0                          
                      9/8/1904                    14.0                          
                      9/9/1904                    14.0                          
                     9/10/1904                    14.0                          
                     9/11/1904                    14.0                          
                     9/12/1904                    14.0                          
                     9/13/1904                    14.0                          
                     9/14/1904                    21.0                          
                     9/15/1904                    30.0                          
                     9/16/1904                    30.0                          
                     9/17/1904                    30.0                          
                     9/18/1904                    30.0                          
                     9/19/1904                    30.0                          
                     9/20/1904                    30.0                          
                     9/21/1904                    30.0                          
                     9/22/1904                    30.0                          
                     9/23/1904                    30.0                          
                     9/24/1904                    43.0                          
