                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                     UMATILLA R + W DIV MAIN CN AT UMATILLA, OR                      
                Requested Period of Record:  10/1/1975 to  9/30/1982                 
 
Watershed ID #: 14033501                                              Basin: UMATILLA
Latitude: 45° 54' 10.003" *                       Longitude: -119° 19' 36.993" *
Hydrologic Unit: 17070103                         Public Land Survey: 5.00N-28.00E-21
 
Time: 2:33 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1975                   142                            
                     10/2/1975                   144                            
                     10/3/1975                   139                            
                     10/4/1975                   137                            
                     10/5/1975                   147                            
                     10/6/1975                   142                            
                     10/7/1975                   154                            
                     10/8/1975                   173                            
                     10/9/1975                   181                            
                    10/10/1975                   190                            
                    10/11/1975                   199                            
                    10/12/1975                   199                            
                    10/13/1975                   198                            
                    10/14/1975                   199                            
                    10/15/1975                   192                            
                    10/16/1975                   185                            
                    10/17/1975                   176                            
                    10/18/1975                   165                            
                    10/19/1975                   153                            
                    10/20/1975                   157                            
                    10/21/1975                   177                            
                    10/22/1975                   205                            
                    10/23/1975                   215                            
                    10/24/1975                   225                            
                    10/25/1975                   230                            
                    10/26/1975                   225                            
                    10/27/1975                   253                            
                    10/28/1975                   308                            
                    10/29/1975                   289                            
                    10/30/1975                   277                            
                    10/31/1975                   259                            
                     11/1/1975                   259                            
                     11/2/1975                   265                            
                     11/3/1975                   253                            
                     11/4/1975                   247                            
                     11/5/1975                   247                            
                     11/6/1975                   241                            
                     11/7/1975                   241                            
                     11/8/1975                   247                            
                     11/9/1975                   253                            
                    11/10/1975                   247                            
                    11/11/1975                   161                            
                    11/12/1975                   138                            
                    11/13/1975                   120                            
                    11/14/1975                   117                            
                    11/15/1975                   177                            
                    11/16/1975                   247                            
                    11/17/1975                   161                            
                    11/18/1975                   185                            
                    11/19/1975                   157                            
                    11/20/1975                   141                            
                    11/21/1975                   127                            
                    11/22/1975                   117                            
                    11/23/1975                   113                            
                    11/24/1975                   110                            
                    11/25/1975                   107                            
                    11/26/1975                   181                            
                    11/27/1975                   438                            
                    11/28/1975                   700                            
                    11/29/1975                   537                            
                    11/30/1975                   423                            
                     12/1/1975                   367                            
                     12/2/1975                  2450                            
                     12/3/1975                  2600                            
                     12/4/1975                  1870                            
                     12/5/1975                  1640                            
                     12/6/1975                  1250                            
                     12/7/1975                  1270                            
                     12/8/1975                  5440                            
                     12/9/1975                  3730                            
                    12/10/1975                  2350                            
                    12/11/1975                  1670                            
                    12/12/1975                  1240                            
                    12/13/1975                  1000                            
                    12/14/1975                   834                            
                    12/15/1975                   680                            
                    12/16/1975                   630                            
                    12/17/1975                   650                            
                    12/18/1975                   610                            
                    12/19/1975                   555                            
                    12/20/1975                   494                            
                    12/21/1975                   446                            
                    12/22/1975                   402                            
                    12/23/1975                   374                            
                    12/24/1975                   367                            
                    12/25/1975                   402                            
                    12/26/1975                   486                            
                    12/27/1975                  3240                            
                    12/28/1975                  2640                            
                    12/29/1975                  1790                            
                    12/30/1975                  1670                            
                    12/31/1975                  1550                            
                      1/1/1976                  1290                            
                      1/2/1976                  1050                            
                      1/3/1976                   930                            
                      1/4/1976                   966                            
                      1/5/1976                  1480                            
                      1/6/1976                  1420                            
                      1/7/1976                  1090                            
                      1/8/1976                  1530                            
                      1/9/1976                  1930                            
                     1/10/1976                  1850                            
                     1/11/1976                  1440                            
                     1/12/1976                  1390                            
                     1/13/1976                  1180                            
                     1/14/1976                  1000                            
                     1/15/1976                  1120                            
                     1/16/1976                  1890                            
                     1/17/1976                  2880                            
                     1/18/1976                  3510                            
                     1/19/1976                  3480                            
                     1/20/1976                  2770                            
                     1/21/1976                  2210                            
                     1/22/1976                  1890                            
                     1/23/1976                  1620                            
                     1/24/1976                  1320                            
                     1/25/1976                  1160                            
                     1/26/1976                  1040                            
                     1/27/1976                   918                            
                     1/28/1976                   766                            
                     1/29/1976                   755                            
                     1/30/1976                   918                            
                     1/31/1976                   978                            
                      2/1/1976                   990                            
                      2/2/1976                  1000                            
                      2/3/1976                   918                            
                      2/4/1976                   894                            
                      2/5/1976                   777                            
                      2/6/1976                   680                            
                      2/7/1976                   670                            
                      2/8/1976                   700                            
