                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                             BROWNELL CN NR UMATILLA, OR                             
                Requested Period of Record:   4/7/1926 to  8/13/1953                 
 
Watershed ID #: 14034000                                              Basin: UMATILLA
Latitude: 45° 54' 49.005" *                       Longitude: -119° 19' 53.994" *
Hydrologic Unit: 17070103                   Public Land Survey: 5.00N-28.00E-16-NW-NW
 
Time: 2:29 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                      4/7/1926                     0.00                         
                      4/8/1926                    14.0                          
                      4/9/1926                    25.0                          
                     4/10/1926                    24.0                          
                     4/11/1926                    25.0                          
                     4/12/1926                    25.0                          
                     4/13/1926                    25.0                          
                     4/14/1926                    25.0                          
                     4/15/1926                    25.0                          
                     4/16/1926                    26.0                          
                     4/17/1926                    26.0                          
                     4/18/1926                    27.0                          
                     4/19/1926                    26.0                          
                     4/20/1926                    15.0                          
                     4/21/1926                    15.0                          
                     4/22/1926                    23.0                          
                     4/23/1926                    17.0                          
                     4/24/1926                    16.0                          
                     4/25/1926                    15.0                          
                     4/26/1926                    15.0                          
                     4/27/1926                    14.0                          
                     4/28/1926                     3.00                         
                     4/29/1926                    12.0                          
                     4/30/1926                    14.0                          
                      5/1/1926                    15.0                          
                      5/2/1926                    14.0                          
                      5/3/1926                    14.0                          
                      5/4/1926                    16.0                          
                      5/5/1926                    16.0                          
                      5/6/1926                    16.0                          
                      5/7/1926                    16.0                          
                      5/8/1926                    16.0                          
                      5/9/1926                    16.0                          
                     5/10/1926                    16.0                          
                     5/11/1926                    16.0                          
                     5/12/1926                    16.0                          
                     5/13/1926                    16.0                          
                     5/14/1926                    17.0                          
                     5/15/1926                    16.0                          
                     5/16/1926                    16.0                          
                     5/17/1926                    16.0                          
                     5/18/1926                    16.0                          
                     5/19/1926                    16.0                          
                     5/20/1926                    16.0                          
                     5/21/1926                    16.0                          
                     5/22/1926                    14.0                          
                     5/23/1926                    17.0                          
                     5/24/1926                    18.0                          
                     5/25/1926                    20.0                          
                     5/26/1926                    20.0                          
                     5/27/1926                    20.0                          
                     5/28/1926                    20.0                          
                     5/29/1926                    20.0                          
                     5/30/1926                    19.0                          
                     5/31/1926                    18.0                          
                      6/1/1926                    18.0                          
                      6/2/1926                    18.0                          
                      6/3/1926                    18.0                          
                      6/4/1926                    17.0                          
                      6/5/1926                    11.0                          
                      6/6/1926                     0.00                         
                      6/7/1926                     0.00                         
                      6/8/1926                     0.00                         
                      6/9/1926                    12.0                          
                     6/10/1926                    17.0                          
                     6/11/1926                    18.0                          
                     6/12/1926                    18.0                          
                     6/13/1926                    18.0                          
                     6/14/1926                    18.0                          
                     6/15/1926                    18.0                          
                     6/16/1926                    19.0                          
                     6/17/1926                    19.0                          
                     6/18/1926                    19.0                          
                     6/19/1926                    19.0                          
                     6/20/1926                    19.0                          
                     6/21/1926                    19.0                          
                     6/22/1926                    19.0                          
                     6/23/1926                    19.0                          
                     6/24/1926                    19.0                          
                     6/25/1926                    19.0                          
                     6/26/1926                    19.0                          
                     6/27/1926                    19.0                          
                     6/28/1926                    19.0                          
                     6/29/1926                    19.0                          
                     6/30/1926                    19.0                          
                      7/1/1926                    19.0                          
                      7/2/1926                    19.0                          
                      7/3/1926                    19.0                          
                      7/4/1926                    23.0                          
                      7/5/1926                    21.0                          
                      7/6/1926                    20.0                          
                      7/7/1926                    19.0                          
                      7/8/1926                    19.0                          
                      7/9/1926                    19.0                          
                     7/10/1926                    19.0                          
                     7/11/1926                    19.0                          
                     7/12/1926                    19.0                          
                     7/13/1926                    19.0                          
                     7/14/1926                    19.0                          
                     7/15/1926                    19.0                          
                     7/16/1926                    19.0                          
                     7/17/1926                    19.0                          
                     7/18/1926                    19.0                          
                     7/19/1926                    19.0                          
                     7/20/1926                    19.0                          
