                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                       WILLOW CR AT MORGAN STREET, AT HEPPNER                        
                Requested Period of Record:  10/1/2007 to  7/23/2018                 
 
Watershed ID #: 14034608                                              Basin: UMATILLA
Latitude: 45° 21' 41.0" *                       Longitude: -119° 33' 33.001" *
Hydrologic Unit: 17070104                                      Public Land Survey: --
 
Time: 2:33 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/2007                     2.72                         
                     10/2/2007                     0.77                         
                     10/3/2007                     0.79                         
                     10/4/2007                     0.76                         
                     10/5/2007                     0.68                         
                     10/6/2007                     0.65                         
                     10/7/2007                     0.60                         
                     10/8/2007                     0.67                         
                     10/9/2007                     0.71                         
                    10/10/2007                     0.78                         
                    10/11/2007                     0.68                         
                    10/12/2007                     0.68                         
                    10/13/2007                     0.67                         
                    10/14/2007                     0.75                         
                    10/15/2007                     0.88                         
                    10/16/2007                     1.14                         
                    10/17/2007                     0.99                         
                    10/18/2007                     1.02                         
                    10/19/2007                     1.39                         
                    10/20/2007                     0.97                         
                    10/21/2007                     0.90                         
                    10/22/2007                     0.87                         
                    10/23/2007                     0.86                         
                    10/24/2007                     0.90                         
                    10/25/2007                     0.97                         
                    10/26/2007                     1.27                         
                    10/27/2007                     1.81                         
                    10/28/2007                     2.37                         
                    10/29/2007                     2.38                         
                    10/30/2007                     2.30                         
                    10/31/2007                     2.32                         
                     11/1/2007                     2.43                         
                     11/2/2007                     2.55                         
                     11/3/2007                     2.55                         
                     11/4/2007                     2.85                         
                     11/5/2007                     2.90                         
                     11/6/2007                     2.92                         
                     11/7/2007                     2.88                         
                     11/8/2007                     2.84                         
                     11/9/2007                     2.47                         
                    11/10/2007                     2.55                         
                    11/11/2007                     2.55                         
                    11/12/2007                     2.49                         
                    11/13/2007                     2.58                         
                    11/14/2007                     2.81                         
                    11/15/2007                     2.76                         
                    11/16/2007                     2.63                         
                    11/17/2007                     2.74                         
                    11/18/2007                     3.08                         
                    11/19/2007                     3.03                         
                    11/20/2007                     2.92                         
                    11/21/2007                     3.05                         
                    11/22/2007                     2.91                         
                    11/23/2007                     2.96                         
                    11/24/2007                     2.97                         
                    11/25/2007                     3.00                         
                    11/26/2007                     3.19                         
                    11/27/2007                     3.01                         
                    11/28/2007                     2.99                         
                    11/29/2007                     3.11                         
                    11/30/2007                     3.09                         
                     12/1/2007                     3.22                         
                     12/2/2007                     3.11                         
                     12/3/2007                     2.75                         
                     12/4/2007                     2.49                         
                     12/5/2007                     2.45                         
                     12/6/2007                     2.82                         
                     12/7/2007                     3.04                         
                     12/8/2007                     3.06                         
                     12/9/2007                     3.28                         
                    12/10/2007                     3.03                         
                    12/11/2007                     3.05                         
                    12/12/2007                     2.79                         
                    12/13/2007                     2.80                         
                    12/14/2007                     2.86                         
                    12/15/2007                     2.78                         
                    12/16/2007                     2.72                         
                    12/17/2007                     2.54                         
                    12/18/2007                     2.46                         
                    12/19/2007                     2.42                         
                    12/20/2007                     2.47                         
                    12/21/2007                     2.66                         
                    12/22/2007                     2.70                         
                    12/23/2007                     2.70                         
                    12/24/2007                     2.79                         
                    12/25/2007                     2.71                         
                    12/26/2007                     2.82                         
                    12/27/2007                     3.30                         
                    12/28/2007                     3.28                         
                    12/29/2007                     3.13                         
                    12/30/2007                     3.24                         
                    12/31/2007                     3.31                         
                      1/1/2008                     2.82                         
                      1/2/2008                     3.20                         
                      1/3/2008                     4.09                         
                      1/4/2008                     3.68                         
                      1/5/2008                     3.00                         
                      1/6/2008                     3.07                         
                      1/7/2008                     3.14                         
                      1/8/2008                     3.14                         
                      1/9/2008                     3.07                         
                     1/10/2008                     3.24                         
                     1/11/2008                     2.83                         
                     1/12/2008                     3.06                         
                     1/13/2008                     2.85                         
                     1/14/2008                     6.36                         
                     1/15/2008                    16.0                          
                     1/16/2008                    16.6                          
                     1/17/2008                    15.5                          
                     1/18/2008                    15.4                          
                     1/19/2008                    14.9                          
                     1/20/2008                    15.3                          
                     1/21/2008                    16.2                          
                     1/22/2008                     8.92                         
                     1/23/2008                     5.24                         
                     1/24/2008                     6.64                         
                     1/25/2008                     4.87                         
                     1/26/2008                     4.33                         
                     1/27/2008                     4.03                         
                     1/28/2008                     9.38                         
                     1/29/2008                    12.0                          
                     1/30/2008                    11.9                          
                     1/31/2008                     7.13                         
                      2/1/2008                     3.03                         
                      2/2/2008                     3.06                         
                      2/3/2008                     3.08                         
                      2/4/2008                     3.01                         
                      2/5/2008                     2.76                         
                      2/6/2008                     2.71                         
                      2/7/2008                     2.68                         
                      2/8/2008                     2.58                         
                      2/9/2008                     2.36                         
                     2/10/2008                     2.08                         
                     2/11/2008                     2.19                         
                     2/12/2008                    14.5                          
                     2/13/2008                    23.4                          
                     2/14/2008                    28.6                          
                     2/15/2008                    33.6                          
                     2/16/2008                    34.1                          
                     2/17/2008                    34.9                          
                     2/18/2008                    35.2                          
                     2/19/2008                    24.3                          
                     2/20/2008                    12.9                          
                     2/21/2008                    12.9                          
                     2/22/2008                    13.0                          
                     2/23/2008                    13.0                          
                     2/24/2008                    12.9                          
                     2/25/2008                    12.8                          
                     2/26/2008                    12.9                          
                     2/27/2008                    13.0                          
                     2/28/2008                    12.8                          
                     2/29/2008                    12.9                          
                      3/1/2008                    13.1                          
                      3/2/2008                    14.5                          
                      3/3/2008                    10.9                          
                      3/4/2008                    14.5                          
                      3/5/2008                    14.6                          
                      3/6/2008                    18.1                          
                      3/7/2008                    32.6                          
                      3/8/2008                    32.8                          
                      3/9/2008                    32.5                          
                     3/10/2008                    26.6                          
                     3/11/2008                    14.5                          
                     3/12/2008                    14.3                          
                     3/13/2008                    14.8                          
                     3/14/2008                    16.0          e               
                     3/15/2008                    15.2                          
                     3/16/2008                    15.0                          
                     3/17/2008                    23.7                          
                     3/18/2008                    38.5                          
                     3/19/2008                    50.9                          
                     3/20/2008                    80.0          e               
                     3/21/2008                   114                            
                     3/22/2008                   114            e               
                     3/23/2008                   108                            
                     3/24/2008                   107                            
                     3/25/2008                    94.5                          
                     3/26/2008                    80.5                          
                     3/27/2008                    64.5                          
                     3/28/2008                    48.0                          
                     3/29/2008                    45.8                          
                     3/30/2008                    45.6                          
                     3/31/2008                    35.5                          
                      4/1/2008                    23.8                          
                      4/2/2008                    23.1                          
                      4/3/2008                    23.6                          
                      4/4/2008                    19.5                          
                      4/5/2008                    13.3                          
                      4/6/2008                    12.8                          
                      4/7/2008                    10.9                          
                      4/8/2008                     7.44                         
                      4/9/2008                     7.16                         
