                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                                 RHEA CR NR IONE, OR                                 
                Requested Period of Record:  10/1/1971 to 12/27/1978                 
 
Watershed ID #: 14034900                                              Basin: UMATILLA
Latitude: 45° 29' 9.998" *                       Longitude: -119° 46' 12.015" *
Hydrologic Unit: 17070104                         Public Land Survey: 1.00S-24.00E-13
 
Time: 2:27 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1971                     0.10                         
                     10/2/1971                     0.10                         
                     10/3/1971                     0.10                         
                     10/4/1971                     0.10                         
                     10/5/1971                     0.10                         
                     10/6/1971                     0.10                         
                     10/7/1971                     0.10                         
                     10/8/1971                     0.10                         
                     10/9/1971                     0.10                         
                    10/10/1971                     0.10                         
                    10/11/1971                     0.10                         
                    10/12/1971                     0.10                         
                    10/13/1971                     0.10                         
                    10/14/1971                     0.10                         
                    10/15/1971                     0.10                         
                    10/16/1971                     0.10                         
                    10/17/1971                     0.10                         
                    10/18/1971                     0.10                         
                    10/19/1971                     0.10                         
                    10/20/1971                     0.10                         
                    10/21/1971                     0.10                         
                    10/22/1971                     0.10                         
                    10/23/1971                     0.20                         
                    10/24/1971                     0.20                         
                    10/25/1971                     0.10                         
                    10/26/1971                     0.10                         
                    10/27/1971                     0.10                         
                    10/28/1971                     0.10                         
                    10/29/1971                     0.10                         
                    10/30/1971                     0.20                         
                    10/31/1971                     0.20                         
                     11/1/1971                     0.10                         
                     11/2/1971                     0.10                         
                     11/3/1971                     0.10                         
                     11/4/1971                     0.10                         
                     11/5/1971                     0.10                         
                     11/6/1971                     0.10                         
                     11/7/1971                     0.10                         
                     11/8/1971                     0.10                         
                     11/9/1971                     0.10                         
                    11/10/1971                     0.10                         
                    11/11/1971                     0.10                         
                    11/12/1971                     0.20                         
                    11/13/1971                     0.20                         
                    11/14/1971                     0.20                         
                    11/15/1971                     0.20                         
                    11/16/1971                     0.20                         
                    11/17/1971                     0.30                         
                    11/18/1971                     0.50                         
                    11/19/1971                     0.40                         
                    11/20/1971                     0.70                         
                    11/21/1971                     0.60                         
                    11/22/1971                     0.70                         
                    11/23/1971                     0.80                         
                    11/24/1971                     1.30                         
                    11/25/1971                     1.40                         
                    11/26/1971                     1.90                         
                    11/27/1971                     6.20                         
                    11/28/1971                     9.20                         
                    11/29/1971                     8.40                         
                    11/30/1971                    26.0                          
                     12/1/1971                    32.0                          
                     12/2/1971                    25.0                          
                     12/3/1971                    21.0                          
                     12/4/1971                    20.0                          
                     12/5/1971                    21.0                          
                     12/6/1971                   102                            
                     12/7/1971                    80.0                          
                     12/8/1971                    62.0                          
                     12/9/1971                    59.0                          
                    12/10/1971                    56.0                          
                    12/11/1971                    47.0                          
                    12/12/1971                    40.0                          
                    12/13/1971                    38.0                          
                    12/14/1971                    35.0                          
                    12/15/1971                    32.0                          
                    12/16/1971                    29.0                          
                    12/17/1971                    28.0                          
                    12/18/1971                    32.0                          
                    12/19/1971                    34.0                          
                    12/20/1971                    34.0                          
                    12/21/1971                    32.0                          
                    12/22/1971                    30.0                          
                    12/23/1971                    38.0                          
                    12/24/1971                    40.0                          
                    12/25/1971                    40.0                          
                    12/26/1971                    38.0                          
                    12/27/1971                    28.0                          
                    12/28/1971                    31.0                          
                    12/29/1971                    28.0                          
                    12/30/1971                    29.0                          
                    12/31/1971                    30.0                          
                      1/1/1972                    26.0                          
                      1/2/1972                    24.0                          
                      1/3/1972                    14.0                          
                      1/4/1972                    13.0                          
                      1/5/1972                    28.0                          
                      1/6/1972                    26.0                          
                      1/7/1972                    22.0                          
                      1/8/1972                    22.0                          
                      1/9/1972                    23.0                          
                     1/10/1972                    22.0                          
                     1/11/1972                    22.0                          
                     1/12/1972                    24.0                          
                     1/13/1972                    24.0                          
                     1/14/1972                    24.0                          
                     1/15/1972                    24.0                          
                     1/16/1972                    22.0                          
                     1/17/1972                    22.0                          
                     1/18/1972                    26.0                          
                     1/19/1972                    47.0                          
                     1/20/1972                    81.0                          
                     1/21/1972                   219                            
                     1/22/1972                   181                            
                     1/23/1972                   138                            
                     1/24/1972                   100                            
                     1/25/1972                    81.0                          
                     1/26/1972                    52.0                          
                     1/27/1972                    52.0                          
                     1/28/1972                    52.0                          
                     1/29/1972                    51.0                          
                     1/30/1972                    51.0                          
                     1/31/1972                    50.0                          
                      2/1/1972                    50.0                          
                      2/2/1972                    50.0                          
                      2/3/1972                    60.0                          
                      2/4/1972                    72.0                          
                      2/5/1972                   110                            
                      2/6/1972                   145                            
                      2/7/1972                   168                            
                      2/8/1972                   175                            
                      2/9/1972                   213                            
                     2/10/1972                   177                            
                     2/11/1972                   134                            
                     2/12/1972                    77.0                          
                     2/13/1972                    53.0                          
                     2/14/1972                    62.0                          
                     2/15/1972                    54.0                          
                     2/16/1972                    72.0                          
                     2/17/1972                   104                            
                     2/18/1972                   114                            
                     2/19/1972                   106                            
                     2/20/1972                   118                            
                     2/21/1972                    98.0                          
                     2/22/1972                    85.0                          
                     2/23/1972                    77.0                          
                     2/24/1972                    69.0                          
                     2/25/1972                    63.0                          
                     2/26/1972                    57.0                          
                     2/27/1972                    50.0                          
                     2/28/1972                    76.0                          
                     2/29/1972                    95.0                          
                      3/1/1972                    81.0                          
                      3/2/1972                    75.0                          
                      3/3/1972                   100                            
                      3/4/1972                    92.0                          
                      3/5/1972                    87.0                          
                      3/6/1972                    89.0                          
                      3/7/1972                    82.0                          
                      3/8/1972                    70.0                          
                      3/9/1972                    64.0                          
                     3/10/1972                    66.0                          
                     3/11/1972                    72.0                          
                     3/12/1972                    77.0                          
                     3/13/1972                   121                            
                     3/14/1972                   124                            
                     3/15/1972                   177                            
                     3/16/1972                    88.0                          
                     3/17/1972                    80.0                          
                     3/18/1972                    76.0                          
                     3/19/1972                    65.0                          
                     3/20/1972                    59.0                          
                     3/21/1972                    52.0                          
                     3/22/1972                    45.0                          
                     3/23/1972                    48.0                          
                     3/24/1972                    47.0                          
                     3/25/1972                    44.0                          
                     3/26/1972                    35.0                          
                     3/27/1972                    31.0                          
                     3/28/1972                    30.0                          
                     3/29/1972                    29.0                          
                     3/30/1972                    34.0                          
                     3/31/1972                    30.0                          
                      4/1/1972                    26.0                          
                      4/2/1972                    22.0                          
                      4/3/1972                    21.0                          
                      4/4/1972                    14.0                          
                      4/5/1972                    15.0                          
                      4/6/1972                    20.0                          
                      4/7/1972                    15.0                          
                      4/8/1972                    14.0                          
                      4/9/1972                    14.0                          
                     4/10/1972                    15.0                          
                     4/11/1972                    11.0                          
                     4/12/1972                    10.0                          
                     4/13/1972                    16.0                          
                     4/14/1972                    12.0                          
                     4/15/1972                    11.0                          
                     4/16/1972                    15.0                          
                     4/17/1972                    25.0                          
                     4/18/1972                    35.0                          
                     4/19/1972                    40.0                          
                     4/20/1972                    39.0                          
                     4/21/1972                    39.0                          
                     4/22/1972                    38.0                          
                     4/23/1972                    36.0                          
                     4/24/1972                    34.0                          
                     4/25/1972                    33.0                          
                     4/26/1972                    27.0                          
                     4/27/1972                    22.0                          
                     4/28/1972                    27.0                          
                     4/29/1972                    29.0                          
                     4/30/1972                    28.0                          
                      5/1/1972                    27.0                          
                      5/2/1972                    21.0                          
                      5/3/1972                    17.0                          
                      5/4/1972                    12.0                          
                      5/5/1972                     7.00                         
                      5/6/1972                     6.70                         
                      5/7/1972                     8.00                         
                      5/8/1972                     8.00                         
                      5/9/1972                    21.0                          
                     5/10/1972                    13.0                          
