                        TIME SERIES OF MEAN DAILY STREAMFLOWS                        
 
                             WILLOW CR NR ARLINGTON, OR                              
                Requested Period of Record:  10/1/1960 to  9/30/1979                 
 
Watershed ID #: 14036000                                              Basin: UMATILLA
Latitude: 45° 45' 15.47" *                        Longitude: -120° 0' 38.137" *
Hydrologic Unit: 17070104                         Public Land Survey: 3.00N-22.00E-12
 
Time: 2:25 PM                                                        Date: 04/22/2019
-------------------------------------------------------------------------------------
                 Mean Daily Streamflows are in Cubic Feet per Second                 
.....................................................................................
                   Record Date     Mean Daily Discharge      Estimated               
-------------------------------------------------------------------------------------
                     10/1/1960                     0.60                         
                     10/2/1960                     0.60                         
                     10/3/1960                     0.70                         
                     10/4/1960                     0.70                         
                     10/5/1960                     0.80                         
                     10/6/1960                     0.80                         
                     10/7/1960                     1.00                         
                     10/8/1960                     1.00                         
                     10/9/1960                     1.20                         
                    10/10/1960                     1.20                         
                    10/11/1960                     1.40                         
                    10/12/1960                     1.40                         
                    10/13/1960                     1.40                         
                    10/14/1960                     1.60                         
                    10/15/1960                     1.60                         
                    10/16/1960                     1.60                         
                    10/17/1960                     0.50                         
                    10/18/1960                     0.00                         
                    10/19/1960                     0.00                         
                    10/20/1960                     0.00                         
                    10/21/1960                     0.00                         
                    10/22/1960                     0.00                         
                    10/23/1960                     0.00                         
                    10/24/1960                     0.20                         
                    10/25/1960                     0.30                         
                    10/26/1960                     0.60                         
                    10/27/1960                     0.60                         
                    10/28/1960                     0.70                         
                    10/29/1960                     0.20                         
                    10/30/1960                     0.00                         
                    10/31/1960                     0.00                         
                     11/1/1960                     0.00                         
                     11/2/1960                     0.00                         
                     11/3/1960                     0.00                         
                     11/4/1960                     0.00                         
                     11/5/1960                     0.00                         
                     11/6/1960                     0.00                         
                     11/7/1960                     0.00                         
                     11/8/1960                     0.00                         
                     11/9/1960                     0.00                         
                    11/10/1960                     0.00                         
                    11/11/1960                     0.00                         
                    11/12/1960                     0.40                         
                    11/13/1960                     0.40                         
                    11/14/1960                     0.60                         
                    11/15/1960                     0.60                         
                    11/16/1960                     0.70                         
                    11/17/1960                     0.70                         
                    11/18/1960                     0.80                         
                    11/19/1960                     0.80                         
                    11/20/1960                     0.80                         
                    11/21/1960                     0.80                         
                    11/22/1960                     0.80                         
                    11/23/1960                     1.00                         
                    11/24/1960                     1.20                         
                    11/25/1960                     1.40                         
                    11/26/1960                     1.00                         
                    11/27/1960                     0.80                         
                    11/28/1960                     0.80                         
                    11/29/1960                     0.80                         
                    11/30/1960                     0.70                         
                     12/1/1960                     0.70                         
                     12/2/1960                     0.80                         
                     12/3/1960                     0.80                         
                     12/4/1960                     0.80                         
                     12/5/1960                     0.80                         
                     12/6/1960                     0.80                         
                     12/7/1960                     0.80                         
                     12/8/1960                     0.80                         
                     12/9/1960                     0.80                         
                    12/10/1960                     0.80                         
                    12/11/1960                     1.00                         
                    12/12/1960                     1.00                         
                    12/13/1960                     1.00                         
                    12/14/1960                     1.00                         
                    12/15/1960                     1.00                         
                    12/16/1960                     1.00                         
                    12/17/1960                     1.00                         
                    12/18/1960                     1.20                         
                    12/19/1960                     1.20                         
                    12/20/1960                     1.60                         
                    12/21/1960                     2.60                         
                    12/22/1960                     3.20                         
                    12/23/1960                     3.90                         
                    12/24/1960                     3.90                         
                    12/25/1960                     3.20                         
                    12/26/1960                     3.90                         
                    12/27/1960                     3.90                         
                    12/28/1960                     3.90                         
                    12/29/1960                     3.60                         
                    12/30/1960                     3.60                         
                    12/31/1960                     3.60                         
                      1/1/1961                     4.00                         
                      1/2/1961                     4.00                         
                      1/3/1961                     3.90                         
                      1/4/1961                     1.80                         
                      1/5/1961                     1.80                         
                      1/6/1961                     5.00                         
                      1/7/1961                     9.90                         
                      1/8/1961                     6.80                         
                      1/9/1961                     5.20                         
                     1/10/1961                     4.80                         
                     1/11/1961                     4.30                         
                     1/12/1961                     3.90                         
                     1/13/1961                     3.90                         
                     1/14/1961                     3.90                         
                     1/15/1961                     3.20                         
                     1/16/1961                     2.60                         
                     1/17/1961                     2.60                         
                     1/18/1961                     3.20                         
                     1/19/1961                     2.80                         
                     1/20/1961                     2.60                         
                     1/21/1961                     2.20                         
                     1/22/1961                     2.20                         
                     1/23/1961                     2.60                         
                     1/24/1961                     3.20                         
                     1/25/1961                     4.30                         
                     1/26/1961                     4.00                         
                     1/27/1961                     3.60                         
                     1/28/1961                     4.00                         
                     1/29/1961                     5.00                         
                     1/30/1961                     8.00                         
                     1/31/1961                     8.00                         
                      2/1/1961                     4.80                         
                      2/2/1961                     7.40                         
                      2/3/1961                     3.90                         
                      2/4/1961                     3.90                         
                      2/5/1961                     3.60                         
                      2/6/1961                     3.20                         
                      2/7/1961                     2.60                         
                      2/8/1961                     9.90                         
                      2/9/1961                    17.0                          
                     2/10/1961                    28.0                          
                     2/11/1961                    74.0                          
                     2/12/1961                   113                            
                     2/13/1961                   102                            
                     2/14/1961                    77.0                          
                     2/15/1961                    66.0                          
                     2/16/1961                    51.0                          
                     2/17/1961                    42.0                          
                     2/18/1961                    37.0                          
                     2/19/1961                    33.0                          
                     2/20/1961                    29.0                          
                     2/21/1961                    36.0                          
                     2/22/1961                    46.0                          
                     2/23/1961                    59.0                          
                     2/24/1961                    56.0                          
                     2/25/1961                    40.0                          
                     2/26/1961                    33.0                          
                     2/27/1961                    29.0                          
                     2/28/1961                    19.0                          
                      3/1/1961                    17.0                          
                      3/2/1961                    12.0                          
                      3/3/1961                    12.0                          
                      3/4/1961                     4.30                         
                      3/5/1961                     4.80                         
                      3/6/1961                     8.60                         
                      3/7/1961                     5.20                         
                      3/8/1961                     1.20                         
                      3/9/1961                     1.00                         
                     3/10/1961                     0.00                         
                     3/11/1961                     4.30                         
                     3/12/1961                    14.0                          
                     3/13/1961                    29.0                          
                     3/14/1961                    74.0                          
                     3/15/1961                   225                            
                     3/16/1961                   286                            
                     3/17/1961                   320                            
                     3/18/1961                   234                            
                     3/19/1961                   201                            
                     3/20/1961                   173                            
                     3/21/1961                   157                            
                     3/22/1961                   146                            
                     3/23/1961                   152                            
                     3/24/1961                   162                            
                     3/25/1961                   165                            
                     3/26/1961                   154                            
                     3/27/1961                   144                            
                     3/28/1961                   132                            
                     3/29/1961                   122                            
                     3/30/1961                   124                            
                     3/31/1961                   106                            
                      4/1/1961                    98.0                          
                      4/2/1961                    85.0                          
                      4/3/1961                    74.0                          
                      4/4/1961                    58.0                          
                      4/5/1961                    48.0                          
                      4/6/1961                    40.0                          
                      4/7/1961                    33.0                          
                      4/8/1961                    23.0                          
                      4/9/1961                    16.0                          
                     4/10/1961                    14.0                          
                     4/11/1961                     8.60                         
                     4/12/1961                     8.60                         
                     4/13/1961                     8.60                         
                     4/14/1961                     8.60                         
                     4/15/1961                     5.70                         
                     4/16/1961                     2.80                         
                     4/17/1961                     0.20                         
                     4/18/1961                     0.00                         
                     4/19/1961                     0.00                         
                     4/20/1961                     0.00                         
                     4/21/1961                     0.60                         
                     4/22/1961                     1.60                         
                     4/23/1961                     0.60                         
                     4/24/1961                     0.30                         
                     4/25/1961                     0.20                         
                     4/26/1961                     0.30                         
                     4/27/1961                     0.10                         
                     4/28/1961                     0.00                         
                     4/29/1961                     0.00                         
                     4/30/1961                     0.00                         
                      5/1/1961                     0.00                         
                      5/2/1961                     0.00                         
                      5/3/1961                     0.00                         
                      5/4/1961                     0.00                         
                      5/5/1961                     0.00                         
                      5/6/1961                     0.00                         
                      5/7/1961                     0.00                         
                      5/8/1961                     0.00                         
                      5/9/1961                     0.00                         
                     5/10/1961                     2.00                         
                     5/11/1961                     0.80                         
                     5/12/1961                     0.40                         
                     5/13/1961                     0.10                         
                     5/14/1961                     0.00                         
                     5/15/1961                     0.00                         
                     5/16/1961                     0.00                         
                     5/17/1961                     0.00                         
                     5/18/1961                     0.00                         
                     5/19/1961                     0.00                         
                     5/20/1961                     0.00                         
                     5/21/1961                     0.00                         
                     5/22/1961                     0.00                         
                     5/23/1961                     0.00                         
                     5/24/1961                     0.00                         
                     5/25/1961                     0.00                         
                     5/26/1961                     0.00                         
                     5/27/1961                     0.00                         
                     5/28/1961                     0.00                         
                     5/29/1961                     0.00                         
                     5/30/1961                     0.00                         
                     5/31/1961                     0.00                         
                      6/1/1961                     0.00                         
                      6/2/1961                     0.00                         
                      6/3/1961                     0.00                         
                      6/4/1961                     0.00                         
                      6/5/1961                     0.00                         
                      6/6/1961                     0.00                         
                      6/7/1961                     0.30                         
                      6/8/1961                     1.20                         
                      6/9/1961                     1.00                         
                     6/10/1961                     0.30                         
                     6/11/1961                     0.00                         
                     6/12/1961                     0.40                         
                     6/13/1961                     1.40                         
                     6/14/1961                     1.40                         
                     6/15/1961                     1.20                         
                     6/16/1961                     0.60                         
                     6/17/1961                     0.70                         
                     6/18/1961                     1.00                         
                     6/19/1961                     1.00                         
                     6/20/1961                     0.70                         
                     6/21/1961                     0.20                         
                     6/22/1961                     0.00                         
                     6/23/1961                     0.00                         
                     6/24/1961                     0.00                         
                     6/25/1961                     0.10                         
                     6/26/1961                     0.00                         
                     6/27/1961                     0.00                         
                     6/28/1961                     0.00                         
                     6/29/1961                     0.00                         
                     6/30/1961                     0.00                         
                      7/1/1961                     0.00                         
                      7/2/1961                     0.00                         
                      7/3/1961                     0.00                         
                      7/4/1961                     0.00                         
                      7/5/1961                     0.00                         
                      7/6/1961                     0.00                         
                      7/7/1961                     0.00                         
                      7/8/1961                     0.00                         
                      7/9/1961                     0.00                         
                     7/10/1961                     0.00                         
